Customer_ID,Name,Age,Gender,City,Membership_Type,Tenure_Months,Total_Rides,Average_Ride_Cost,Days_Since_Last_Ride,Cancellation_Rate,Customer_Satisfaction_Score,Payment_Method,App_Usage_Hours_Per_Week,Churn_Status
RS100039,Adira Choudhury,39.0,Female,Ahmedabad,Regular,38,156,652.89,4,0.35,2.0,Wallet,,1
RS100040,Baiju Golla,27.0,Male,Mumbai,Corporate,6,102,747.66,29,0.18,5.0,Cash,27.1,0
RS100041,Kanav Kota,44.0,Female,Bangalore,Regular,55,255,1945.12,112,0.05,6.0,Wallet,5.0,1
RS100042,Prisha Bali,26.0,Male,Chennai,Corporate,29,65,1563.34,61,0.17,1.0,Card,,1
RS100043,Jayan Devi,,Male,Ahmedabad,Gold,31,253,2338.68,83,0.39,1.0,Cash,2.6,1
RS100044,Dishani Karpe,27.0,Male,Jaipur,Premium,65,550,1369.74,84,0.14,8.0,Cash,7.0,0
RS100045,Dishani Dass,37.0,Male,Jaipur,Gold,45,511,2223.71,45,0.41,4.0,Cash,14.1,1
RS100046,Taimur Kothari,31.0,Female,Ahmedabad,Regular,60,196,1191.75,143,0.33,8.0,UPI,,0
RS100047,Dishani Chanda,30.0,Female,Hyderabad,Gold,71,43,2325.57,170,0.29,7.0,Card,26.9,0
RS100048,Yuvraj  Hans,25.0,Female,Nagpur,Premium,49,578,112.25,64,0.45,8.0,Card,12.8,1
RS100049,Prerak Khare,68.0,unknown,Delhi,Corporate,64,313,1097.38,28,0.5,6.0,UPI,9.6,0
RS100050,Miraan Madan,31.0,Male,Chennai,Corporate,18,507,514.8,10,0.69,8.0,UPI,21.9,0
RS100051,Shayak Bhatia,19.0,Male,Bangalore,Corporate,47,154,679.15,125,0.29,5.0,Card,,0
RS100052,Dhanush Bhalla,200.0,Male,Mumbai,Premium,42,346,1707.96,145,0.3,1.0,Wallet,18.0,1
RS100053,Dhanuk Bava,42.0,Female,Delhi,Premium,68,401,1865.2,68,0.75,10.0,UPI,13.3,1
RS100054,Pari Solanki,32.0,Female,Kolkata,Premium,9,425,1783.69,89,0.49,1.0,Cash,24.2,1
RS100055,Kiara Raja,23.0,Male,Chennai,Premium,59,108,577.47,99,0.18,6.0,Cash,11.3,0
RS100056,Dhruv Dewan,26.0,Male,Hyderabad,Regular,8,264,1851.86,118,0.8,7.0,UPI,2.9,0
RS100057,Anaya Goel,61.0,Male,Hyderabad,Corporate,21,446,98.95,164,0.61,2.0,Wallet,19.7,1
RS100058,Hansh Sengupta,43.0,Female,Mumbai,Premium,10,541,775.72,5,0.72,7.0,Wallet,23.0,0
RS100059,Zoya Das,0.0,Female,Ahmedabad,Corporate,5,239,1216.59,39,0.2,3.0,Card,34.7,1
RS100060,Prerak Choudhary,60.0,Male,Mumbai,Regular,53,186,1373.33,89,0.43,6.0,Wallet,26.5,0
RS100061,Aarav Kothari,32.0,Male,Delhi,Gold,58,570,2365.53,23,0.12,,UPI,17.4,0
RS100062,Baiju Sule,68.0,Male,Nagpur,Corporate,34,30,1911.12,48,0.54,2.0,UPI,17.5,1
RS100063,Dhanush Chatterjee,55.0,Male,Delhi,Corporate,24,221,,32,0.66,4.0,Wallet,15.1,0
RS100064,Kartik Mannan,,Male,Bangalore,Corporate,70,74,1512.0,87,0.64,9.0,UPI,0.7,1
RS100065,Vivaan Hegde,28.0,Female,Chennai,Premium,15,394,2262.19,24,0.18,4.0,UPI,33.3,0
RS100066,Ivana Rout,,Male,Bangalore,Regular,3,452,115.4,128,0.53,2.0,UPI,1.2,1
RS100067,Kiaan Hari,24.0,Female,Hyderabad,Gold,63,345,1222.64,70,0.4,8.0,Wallet,7.7,1
RS100068,Biju Yadav,57.0,Female,Pune,Regular,27,529,2287.04,103,0.57,3.0,Card,6.5,1
RS100069,Ivan Uppal,27.0,Female,Delhi,Gold,5,169,914.42,137,0.17,3.0,UPI,2.4,0
RS100070,Nitara Agate,40.0,Female,Mumbai,Regular,5,391,1373.87,105,0.16,2.0,Card,24.4,0
RS100071,Darshit Singh,33.0,Female,Pune,Corporate,18,368,1301.95,15,0.47,9.0,UPI,9.8,0
RS100072,Hridaan Biswas,65.0,Female,Chennai,Corporate,9,521,546.83,128,0.03,4.0,Cash,28.4,0
RS100073,Gokul Rajagopalan,34.0,Male,Pune,Gold,42,14,300.95,139,0.7,10.0,Card,30.4,1
RS100074,Charvi Ganesh,37.0,Male,Mumbai,Premium,45,46,2068.8,174,0.43,,Wallet,27.9,0
RS100075,Anya Rege,41.0,Male,Pune,Regular,60,541,256.04,58,0.74,8.0,Cash,25.3,1
RS100076,Shayak Rajagopal,61.0,Male,Delhi,Regular,10,453,,98,0.5,7.0,Cash,11.9,0
RS100077,Azad Goda,19.0,Female,Mumbai,Regular,27,114,1688.15,11,0.71,3.0,Cash,2.0,0
RS100078,Shlok Loke,65.0,Male,Jaipur,Regular,55,86,114.3,9,0.65,8.0,Cash,15.2,0
RS100079,Neelofar Biswas,43.0,Female,Chennai,Premium,22,520,2280.3,50,0.1,9.0,UPI,27.7,1
RS100080,Saksham Chopra,30.0,Male,Kolkata,Corporate,17,183,1280.89,163,0.53,8.0,Wallet,21.2,0
RS100081,Reyansh Ravel,29.0,Female,Hyderabad,Corporate,15,534,1494.15,49,0.31,10.0,UPI,9.6,1
RS100082,Piya Walia,26.0,Male,Bangalore,Corporate,29,105,1692.11,53,0.77,9.0,Wallet,14.9,1
RS100083,Vardaniya Das,40.0,Male,Ahmedabad,Regular,21,291,188.07,103,0.52,7.0,Wallet,9.6,0
RS100084,Seher Bansal,41.0,Male,Nagpur,Regular,25,503,388.49,48,0.13,3.0,Wallet,10.2,0
RS100085,Misha Shetty,31.0,Male,Kolkata,Premium,42,137,2406.46,102,0.38,4.0,Cash,22.1,1
RS100086,Gokul Sanghvi,33.0,Male,Bangalore,Corporate,28,37,2469.95,65,0.15,10.0,Wallet,6.1,1
RS100087,Mamooty Toor,69.0,Female,Bangalore,Regular,17,160,1053.68,151,0.33,10.0,Cash,19.5,0
RS100088,Miraan Jani,,Female,Kolkata,Gold,57,131,1254.79,79,0.45,8.0,Card,,1
RS100089,Aniruddh Deol,54.0,Male,Pune,Gold,48,245,1294.7,71,0.73,3.0,Wallet,,0
RS100090,Taimur Kara,56.0,Male,Mumbai,Premium,40,348,2112.01,68,0.1,,UPI,18.6,1
RS100091,Seher Bera,19.0,Female,Mumbai,Gold,23,258,,169,0.38,6.0,Cash,24.4,1
RS100092,Vardaniya Dada,64.0,Male,Ahmedabad,Gold,60,462,2358.0,93,0.05,6.0,Card,0.2,0
RS100093,Urvi Bassi,,Male,Ahmedabad,Corporate,24,542,372.64,89,0.61,1.0,Cash,29.1,1
RS100094,Zain Sengupta,59.0,Female,Ahmedabad,Premium,42,389,514.33,14,0.74,4.0,UPI,10.1,0
RS100095,Akarsh Jayaraman,41.0,Male,Nagpur,Premium,45,482,,174,0.1,3.0,Card,26.5,0
RS100096,Mishti Shere,67.0,Male,Jaipur,Gold,27,151,502.64,17,0.05,10.0,Wallet,0.7,0
RS100097,Manjari Agrawal,32.0,Male,Kolkata,Corporate,63,207,1981.02,87,0.61,7.0,Card,7.2,0
RS100098,Mohanlal Chawla,23.0,Female,Hyderabad,Gold,66,3,,103,0.61,7.0,Cash,0.6,0
RS100099,Mahika Chakrabarti,38.0,Female,Jaipur,Premium,11,355,1170.05,94,0.46,1.0,Cash,24.1,1
RS100100,Parinaaz Chaudry,47.0,Female,Nagpur,Gold,51,56,777.71,95,0.47,2.0,UPI,25.8,1
RS100101,Ahana  Batra,26.0,Female,Bangalore,Premium,55,461,213.16,2,0.36,8.0,Wallet,12.6,1
RS100102,Ira Sama,33.0,Male,Pune,Gold,25,241,1892.23,42,0.18,9.0,UPI,22.1,0
RS100103,Vardaniya Kohli,44.0,Male,Mumbai,Corporate,44,150,1013.72,101,0.04,4.0,Wallet,0.3,1
RS100104,Anay Shah,35.0,Male,Jaipur,Premium,66,540,,145,0.58,8.0,Card,8.0,1
RS100105,Sahil Randhawa,62.0,Female,Jaipur,Corporate,63,112,1961.3,151,0.61,,UPI,5.7,1
RS100106,Shanaya Wadhwa,47.0,Female,Pune,Gold,17,38,650.78,79,0.46,2.0,Wallet,4.1,1
RS100107,Jayan Varughese,58.0,Male,Pune,Gold,25,518,1343.33,30,0.66,1.0,Wallet,15.5,0
RS100108,Amani Walla,19.0,Male,Mumbai,Premium,31,187,1653.76,95,0.53,1.0,Card,11.8,0
RS100109,Aradhya Keer,19.0,Female,Mumbai,Corporate,2,451,1613.13,143,0.27,2.0,UPI,22.9,0
RS100110,Emir Yohannan,61.0,Male,Bangalore,Regular,45,532,1344.7,72,0.45,7.0,Card,18.4,1
RS100111,Nitara Sengupta,24.0,Female,Kolkata,Gold,11,75,631.04,80,0.7,2.0,UPI,28.5,1
RS100112,Manjari Vohra,33.0,Female,Chennai,Regular,22,417,572.5,25,0.78,8.0,UPI,34.0,0
RS100113,Rati Golla,31.0,Female,Pune,Regular,70,56,432.43,28,0.62,9.0,Card,5.0,0
RS100114,Tara Jhaveri,23.0,Female,Mumbai,Premium,42,112,,153,0.46,10.0,Wallet,18.6,0
RS100115,Samarth Chada,57.0,Other,Delhi,Gold,54,181,1163.63,141,0.02,3.0,Wallet,29.8,1
RS100116,Yuvraj  Sule,54.0,Female,Hyderabad,Regular,35,491,1399.68,129,0.1,,Wallet,22.4,0
RS100117,Zaina Das,55.0,Female,Mumbai,Gold,42,525,2244.82,21,0.5,10.0,Cash,33.7,0
RS100118,Tejas Tella,29.0,Male,Mumbai,Corporate,41,494,862.76,114,0.32,5.0,Cash,,0
RS100119,Tarini Reddy,59.0,Male,Jaipur,Premium,28,49,,99,0.49,10.0,Cash,32.8,0
RS100120,Rhea Varty,58.0,Male,Hyderabad,Gold,37,317,2357.28,54,0.73,10.0,Wallet,32.0,1
RS100121,Tanya Gandhi,20.0,Female,Hyderabad,Premium,10,109,848.66,134,0.24,3.0,Cash,12.0,0
RS100122,Alisha Barad,41.0,Male,Kolkata,Gold,69,382,1053.09,78,0.29,,Wallet,4.7,1
RS100123,Keya Dhillon,68.0,Female,Nagpur,Corporate,18,211,288.73,63,0.28,2.0,Wallet,6.7,1
RS100124,Akarsh Mannan,50.0,Female,Hyderabad,Corporate,26,445,432.28,104,0.31,7.0,Cash,31.9,0
RS100125,Zoya Bhandari,32.0,Male,Ahmedabad,Regular,19,213,1963.03,53,0.77,8.0,Card,29.0,1
RS100126,Anika Kala,45.0,Female,Mumbai,Regular,45,343,12035.0,26,0.26,5.0,Card,23.7,0
RS100127,Vidur Deo,58.0,Male,Jaipur,Premium,56,497,2321.23,40,0.45,6.0,Cash,30.1,0
RS100128,Biju Sehgal,57.0,Male,Mumbai,Regular,3,500,1183.94,37,0.64,10.0,Card,2.5,0
RS100129,Pranay Sangha,34.0,Male,Bangalore,Corporate,17,297,392.82,73,0.16,3.0,Wallet,6.4,1
RS100130,Ishita Bandi,58.0,Female,Bangalore,Corporate,68,587,988.2,15,0.15,10.0,UPI,2.7,0
RS100131,Aarna Sem,58.0,Other,Hyderabad,Gold,8,369,1292.3,52,0.21,8.0,Cash,32.6,0
RS100132,Jiya Singh,49.0,Female,Hyderabad,Premium,68,138,1106.99,171,0.11,1.0,Card,14.5,0
RS100133,Indrajit Sodhi,59.0,Female,Mumbai,Corporate,25,79,2269.42,96,0.24,6.0,Cash,16.8,0
RS100134,Nishith Dhar,,Male,Pune,Regular,29,376,942.3,7,0.28,5.0,Cash,16.8,0
RS100135,Ehsaan Sundaram,37.0,Male,Delhi,Gold,20,326,1903.44,122,0.06,6.0,Wallet,17.8,1
RS100136,Amani Contractor,25.0,Male,Nagpur,Premium,71,358,2408.12,105,0.16,8.0,Cash,27.0,0
RS100137,Drishya Sabharwal,69.0,Female,Nagpur,Corporate,2,581,143.52,138,0.59,2.0,Cash,23.1,1
RS100138,Neelofar Jha,22.0,Male,Chennai,Regular,54,274,974.6,110,0.37,6.0,Cash,23.7,1
RS100139,Amira Mallick,25.0,Male,Nagpur,Corporate,14,294,1034.5,105,0.02,7.0,UPI,1.5,0
RS100140,Zoya Chadha,38.0,Female,Mumbai,Corporate,66,519,1107.68,98,0.39,5.0,Wallet,18.1,0
RS100141,Anika Bhandari,38.0,Male,Nagpur,Regular,6,510,1164.89,30,0.41,8.0,Cash,25.1,0
RS100142,Mahika Singhal,34.0,Female,Delhi,Gold,14,554,415.66,15,0.54,7.0,Cash,5.5,0
RS100143,Raghav Ramanathan,33.0,Female,Bangalore,Gold,25,194,1714.2,106,0.22,2.0,Cash,12.6,1
RS100144,Damini Mann,45.0,Female,Delhi,Regular,71,276,217.24,35,0.4,9.0,Card,15.8,1
RS100145,Amira Chakraborty,67.0,Female,Hyderabad,Corporate,30,219,2289.57,109,0.6,4.0,Card,12.7,1
RS100146,Jivika Dayal,44.0,Male,Ahmedabad,Regular,41,310,2485.87,177,0.62,7.0,Wallet,5.4,1
RS100147,Arnav Sami,48.0,Female,Mumbai,Corporate,14,213,898.92,72,0.61,3.0,Wallet,16.2,1
RS100148,Umang Sani,32.0,Female,Delhi,Corporate,58,430,1003.42,114,0.3,5.0,Wallet,31.2,1
RS100149,Veer Basak,46.0,Male,Pune,Gold,2,28,2418.11,53,0.64,6.0,Cash,22.2,0
RS100150,Shamik Jayaraman,37.0,Female,Ahmedabad,Corporate,21,411,1522.97,96,0.55,3.0,Wallet,30.0,1
RS100151,Urvi Chadha,18.0,Male,Mumbai,Gold,64,233,74503.0,72,0.19,6.0,Card,6.4,1
RS100152,Urvi Ramachandran,18.0,Female,Ahmedabad,Corporate,68,179,201.3,127,0.34,1.0,Card,8.5,1
RS100153,Tushar Saran,29.0,Male,Bangalore,Gold,3,19,449.21,173,0.66,5.0,Cash,18.4,1
RS100154,Aaryahi Gera,67.0,Male,Ahmedabad,Corporate,42,261,1459.85,154,0.53,5.0,Wallet,5.4,1
RS100155,Yashvi Bhat,30.0,Female,Bangalore,Corporate,51,101,,124,0.55,6.0,UPI,28.3,1
RS100156,Ahana  Char,46.0,Male,Kolkata,Corporate,55,87,265.17,100,0.7,4.0,Wallet,28.6,0
RS100157,Arhaan Thakkar,64.0,Female,Jaipur,Corporate,40,529,1780.24,155,0.33,7.0,UPI,16.8,1
RS100158,Prerak Kunda,40.0,Male,Chennai,Gold,69,487,1590.06,157,0.26,5.0,Card,14.9,0
RS100159,Nitara Mannan,,Female,Bangalore,Regular,67,537,,174,0.69,5.0,UPI,16.5,0
RS100160,Aarush Sheth,22.0,Male,Kolkata,Corporate,29,444,544.39,139,0.28,7.0,Card,26.6,0
RS100161,Abram Bhakta,54.0,Female,Ahmedabad,Regular,24,212,2362.01,167,0.2,8.0,Wallet,11.9,0
RS100162,Nehmat Mammen,19.0,Female,Chennai,Premium,27,400,1664.58,153,0.56,3.0,Wallet,28.4,1
RS100163,Shayak Dasgupta,20.0,Female,Bangalore,Premium,4,125,55984.0,47,0.38,2.0,Card,0.5,1
RS100164,Manikya Walia,68.0,Male,Pune,Corporate,35,135,2168.65,22,0.03,10.0,Wallet,10.5,0
RS100165,Sumer Salvi,52.0,Female,Nagpur,Regular,71,590,80.91,2,0.65,2.0,UPI,,0
RS100166,Inaaya  Mall,43.0,Male,Ahmedabad,Regular,22,484,604.7,178,0.27,7.0,Cash,5.9,0
RS100167,Divit Kumer,,Female,Chennai,Premium,48,2,757.27,168,0.05,7.0,UPI,18.0,1
RS100168,Jayesh Dixit,32.0,Female,Bangalore,Corporate,26,183,,22,0.6,4.0,Wallet,31.0,1
RS100169,Shayak Lall,65.0,Male,Jaipur,Corporate,70,289,756.11,34,0.11,8.0,Cash,10.4,0
RS100170,Tushar Bhandari,33.0,Male,Chennai,Gold,10,92,1769.9,178,0.11,2.0,Card,15.6,0
RS100171,Yasmin Jain,30.0,Male,Jaipur,Gold,9,87,2206.32,14,0.43,,Cash,16.0,1
RS100172,Drishya Tiwari,36.0,Female,Chennai,Regular,6,123,1666.82,19,0.58,1.0,Card,34.4,1
RS100173,Hiran Virk,53.0,??,Chennai,Gold,31,252,715.69,121,0.37,2.0,Card,4.7,1
RS100174,Ishita Dhar,56.0,Female,Ahmedabad,Premium,59,364,874.3,146,0.0,8.0,Card,33.5,1
RS100175,Zeeshan Kapadia,53.0,Female,Pune,Corporate,1,146,,110,0.61,9.0,Wallet,15.4,1
RS100176,Inaaya  Wagle,44.0,Female,Hyderabad,Regular,40,524,97.18,54,0.73,4.0,Wallet,32.3,1
RS100177,Keya Devi,19.0,Male,Jaipur,Regular,36,518,544.81,170,0.03,3.0,Wallet,15.2,1
RS100178,Onkar Krishna,37.0,Female,Delhi,Regular,32,238,348.99,132,0.26,3.0,Cash,3.7,0
RS100179,Kiara Solanki,61.0,Female,Delhi,Regular,65,500,2250.59,148,0.29,8.0,Card,31.7,0
RS100180,Nitya Raja,54.0,Male,Pune,Corporate,18,384,1752.08,83,0.29,8.0,Wallet,,1
RS100181,Abram Issac,52.0,Female,Chennai,Gold,36,422,887.39,85,0.38,9.0,UPI,26.6,1
RS100182,Ivana Choudhry,69.0,Female,Nagpur,Gold,28,249,995.27,120,0.21,2.0,UPI,7.0,1
RS100183,Heer Thakur,50.0,Male,Ahmedabad,Regular,65,346,1385.35,119,0.22,3.0,Wallet,21.2,0
RS100184,Nayantara Edwin,,Female,Mumbai,Gold,34,436,881.25,116,0.69,8.0,Wallet,14.9,0
RS100185,Lavanya Sabharwal,50.0,Male,Nagpur,Premium,67,172,2468.1,63,0.7,,Card,6.6,1
RS100186,Seher Wable,62.0,Female,Bangalore,Gold,67,575,1466.87,14,0.48,1.0,Cash,3.7,1
RS100187,Damini Bahl,18.0,Male,Delhi,Corporate,37,486,1289.58,22,0.63,4.0,Cash,23.5,0
RS100188,Nakul Deol,20.0,unknown,Nagpur,Gold,16,260,589.21,122,0.12,1.0,Cash,25.6,1
RS100189,Indrans Subramaniam,27.0,Female,Delhi,Corporate,26,196,2231.77,71,0.11,10.0,UPI,2.4,0
RS100190,Yakshit Dave,20.0,Female,Ahmedabad,Premium,31,25,541.4,100,0.32,9.0,UPI,0.2,0
RS100191,Advika Basak,44.0,Male,Hyderabad,Regular,6,186,1317.19,94,0.3,5.0,Card,17.7,0
RS100192,Alisha Bera,32.0,Female,Bangalore,Premium,25,146,665.12,39,0.04,2.0,UPI,8.5,0
RS100193,Anaya Kunda,51.0,Female,Ahmedabad,Corporate,41,432,1925.51,153,0.47,6.0,Card,14.6,1
RS100194,Nishith Dalal,58.0,Female,Jaipur,Regular,37,151,21444.0,66,0.3,7.0,UPI,18.5,1
RS100195,Indrajit Baral,38.0,Male,Nagpur,Gold,66,571,1843.77,56,0.76,3.0,Card,23.6,1
RS100196,Rati Chandran,49.0,Female,Kolkata,Gold,31,73,1670.05,20,0.17,8.0,UPI,27.4,0
RS100197,Onkar Bahl,48.0,Female,Nagpur,Premium,54,363,,167,0.08,4.0,Cash,13.8,0
RS100198,Navya Kaur,28.0,Male,Mumbai,Gold,44,311,2223.27,143,0.09,6.0,Card,21.0,0
RS100199,Yuvraj  Singh,35.0,Male,Pune,Gold,1,505,1620.96,120,0.16,,Cash,21.6,0
RS100200,Shaan Sampath,47.0,Female,Nagpur,Premium,54,303,19145.0,121,0.4,,Wallet,29.9,1
RS100201,Prisha Suresh,61.0,Female,Jaipur,Regular,11,216,1970.81,52,0.67,2.0,Card,33.1,1
RS100202,Manjari Varghese,42.0,Male,Chennai,Corporate,64,101,1447.63,153,0.08,,Cash,27.7,0
RS100203,Yuvaan Bhardwaj,47.0,Male,Hyderabad,Gold,21,322,968.94,96,0.56,3.0,Wallet,29.8,1
RS100204,Jhanvi Mandal,30.0,Male,Jaipur,Regular,22,167,337.66,170,0.16,3.0,Wallet,12.1,1
RS100205,Emir Goyal,32.0,Female,Hyderabad,Regular,44,142,193.05,142,0.53,1.0,Cash,32.2,1
RS100206,Sana Chawla,44.0,Female,Bangalore,Gold,17,403,395.86,44,0.68,9.0,Card,28.0,0
RS100207,Raghav Shan,56.0,Female,Kolkata,Premium,39,148,2040.19,57,0.03,9.0,Wallet,5.6,1
RS100208,Hunar Bajwa,62.0,Female,Kolkata,Regular,35,436,2204.91,89,0.02,7.0,Card,15.7,1
RS100209,Samarth Boase,53.0,Male,Pune,Regular,43,91,2294.68,29,0.58,10.0,Cash,34.5,0
RS100210,Amira Mammen,19.0,Male,Chennai,Regular,36,513,1586.29,108,0.32,5.0,UPI,20.2,0
RS100211,Pari Dada,36.0,Male,Ahmedabad,Gold,4,373,26271.0,118,0.5,3.0,UPI,14.4,1
RS100212,Taran Zacharia,56.0,Male,Hyderabad,Premium,48,21,557.99,65,0.74,2.0,UPI,10.1,1
RS100213,Fateh Wali,51.0,Male,Bangalore,Premium,28,237,1336.42,82,0.76,7.0,Wallet,15.0,1
RS100214,Riaan Dugar,65.0,Male,Bangalore,Gold,47,73,2499.58,123,0.2,4.0,Card,22.9,0
RS100215,Jayesh Kant,63.0,Male,Ahmedabad,Premium,68,445,1196.97,72,0.51,4.0,Cash,5.9,1
RS100216,Ojas Sibal,25.0,Male,Pune,Gold,41,415,1983.94,3,0.76,5.0,UPI,10.5,1
RS100217,Anvi Bedi,60.0,Male,Mumbai,Gold,5,15,814.46,154,0.19,5.0,Cash,27.4,0
RS100218,Yasmin Dhar,26.0,Female,Bangalore,Premium,62,453,1778.62,11,0.79,2.0,Card,21.9,0
RS100219,Dhruv Chakrabarti,200.0,Male,Kolkata,Regular,57,208,934.33,26,0.62,9.0,Card,22.1,1
RS100220,Divij Sampath,19.0,Male,Chennai,Gold,32,320,2050.11,95,0.07,8.0,UPI,0.1,1
RS100221,Pari Mahal,52.0,Female,Bangalore,Gold,2,511,951.36,71,0.74,5.0,Cash,26.6,1
RS100222,Aarna Chadha,58.0,Female,Chennai,Corporate,7,176,1286.0,129,0.28,2.0,Wallet,26.5,0
RS100223,Badal Setty,26.0,Male,Bangalore,Corporate,66,220,1159.28,79,0.11,3.0,UPI,23.8,0
RS100224,Charvi Sundaram,52.0,Female,Bangalore,Premium,35,292,1893.48,46,0.61,10.0,Wallet,6.1,1
RS100225,Lakshit Borra,20.0,Female,Delhi,Premium,17,47,912.8,160,0.33,9.0,UPI,10.6,0
RS100226,Inaaya  D’Alia,26.0,Female,Nagpur,Gold,4,506,2074.42,105,0.49,3.0,UPI,28.8,1
RS100227,Hansh Dugar,44.0,Male,Kolkata,Premium,60,27,1628.63,128,0.73,4.0,Cash,14.2,1
RS100228,Ritvik Joshi,59.0,Male,Chennai,Premium,61,208,1273.5,60,0.54,3.0,Cash,6.4,1
RS100229,Elakshi Seth,59.0,Male,Nagpur,Corporate,27,465,,164,0.4,10.0,UPI,22.4,1
RS100230,Advika Brahmbhatt,21.0,Male,Nagpur,Regular,34,537,1563.68,51,0.67,3.0,UPI,,1
RS100231,Neelofar Badal,28.0,Male,Mumbai,Gold,23,250,547.36,106,0.17,3.0,Cash,29.9,0
