Customer_ID,Name,Age,Gender,Tenure_Months,Total_Orders,Average_Order_Value,Days_Since_Last_Order,Return_Rate,Customer_Satisfaction_Score,City,Churn_Status
EC100080,Mamooty Sunder,64.0,Male,64,161,14583.63,173.0,0.48,2.0,Pune,1
EC100081,Anvi Dasgupta,65.0,Male,19,26,13230.8,82.0,0.34,3.0,Kolkata,1
EC100082,Armaan Shere,55.0,Female,71,29,8371.47,142.0,0.06,6.0,Ahmedabad,0
EC100083,Yashvi Wadhwa,40.0,Female,60,163,8363.88,139.0,0.13,2.0,Chennai,0
EC100084,Mohanlal Manne,27.0,Male,63,39,1200.09,137.0,0.25,3.0,Kolkata,1
EC100085,Samiha Choudhary,63.0,Male,51,179,11798.47,26.0,0.53,4.0,Jaipur,1
EC100086,Madhav Din,20.0,Female,55,25,24761.63,147.0,0.54,2.0,Bangalore,1
EC100087,Mehul Sahni,36.0,Male,63,233,24002.72,59.0,0.08,9.0,Chennai,0
EC100088,Jivin Apte,65.0,Female,46,176,13498.35,174.0,0.53,4.0,Delhi,1
EC100089,Arnav Arora,46.0,Male,9,14,14904.75,7.0,0.25,10.0,Chennai,0
EC100090,Bhamini Dubey,29.0,Male,12,25,,57.0,0.09,3.0,Bangalore,0
EC100091,Jivika Chaudhry,28.0,Male,44,18,647.62,80.0,0.16,9.0,Kolkata,1
EC100092,Shlok Tella,67.0,Male,55,195,6370.29,35.0,0.56,6.0,Chennai,1
EC100093,Abram Comar,48.0,Male,19,194,2130.84,124.0,0.5,2.0,Pune,0
EC100094,Anvi Kaul,53.0,Female,49,59,5762.82,8.0,0.38,3.0,Nagpur,0
EC100095,Aaina Iyengar,46.0,Male,70,206,24729.23,36.0,0.57,9.0,Chennai,0
EC100096,Divyansh Doctor,21.0,male ,33,167,15690.24,55.0,0.55,7.0,Mumbai,1
EC100097,Jayan Khanna,37.0,Female,3,129,23258.05,113.0,0.45,6.0,Delhi,0
EC100098,Jivika Chandra,38.0,Female,71,54,18598.56,78.0,0.2,6.0,Delhi,0
EC100099,Advika Brahmbhatt,65.0,Female,11,205,1391.33,121.0,0.18,7.0,Bangalore,1
EC100100,Vihaan Thaker,32.0,Male,17,38,9231.04,177.0,0.04,9.0,Pune,0
EC100101,Ivana Gaba,23.0,Male,27,130,3489.51,179.0,0.58,8.0,Pune,0
EC100102,Zoya Viswanathan,23.0,Female,11,205,4216.6,30.0,0.07,9.0,Kolkata,0
EC100103,Nakul Rana,69.0,Female,39,204,21406.15,29.0,0.56,4.0,Nagpur,0
EC100104,Rati Sinha,24.0,Male,33,121,4451.01,145.0,0.45,,Kolkata,0
EC100105,Kismat Rattan,42.0,Male,54,51,24476.44,29.0,0.02,9.0,Mumbai,0
EC100106,Keya Agarwal,57.0,Female,14,160,11084.25,13.0,0.09,4.0,Delhi,0
EC100107,Ojas Kumer,55.0,Female,27,231,19273.81,172.0,0.09,7.0,Kolkata,0
EC100108,Mahika Varghese,,Female,53,245,14610.21,40.0,0.47,1.0,Hyderabad,0
EC100109,Amira Kulkarni,25.0,Male,58,206,20227.71,155.0,0.23,6.0,Bangalore,0
EC100110,Vihaan Subramaniam,,Male,27,176,4336.48,24.0,0.17,,Pune,0
EC100111,Gatik Brar,22.0,Male,26,148,17474.92,57.0,0.19,,Hyderabad,0
EC100112,Arnav Dhar,41.0,Male,57,45,10610.19,176.0,0.57,7.0,Mumbai,1
EC100113,Saksham Dua,53.0,Female,45,35,15981.55,10.0,0.52,7.0,Delhi,0
EC100114,Ivan Chand,33.0,Male,65,182,314163.0,90.0,0.64,3.0,Hyderabad,0
EC100115,Ritvik Uppal,52.0,Male,15,241,2177.98,91.0,0.02,10.0,Kolkata,0
EC100116,Prisha Sahota,21.0,Male,61,166,621.83,77.0,0.53,5.0,Bangalore,1
EC100117,Rohan Sridhar,36.0,Male,23,156,21525.63,96.0,0.6,1.0,Bangalore,1
EC100118,Tanya Bawa,31.0,Male,38,187,22514.3,177.0,0.12,2.0,Hyderabad,1
EC100119,Yasmin Bhattacharyya,64.0,Male,25,241,18680.11,,0.43,6.0,Kolkata,1
EC100120,Kimaya Bhakta,21.0,Female,63,83,19214.49,37.0,0.12,4.0,Ahmedabad,1
EC100121,Tiya Bhatti,64.0,Male,51,105,275.01,110.0,0.32,4.0,Hyderabad,1
EC100122,Anika Goyal,55.0,Female,65,229,7124.85,91.0,0.61,6.0,Kolkata,1
EC100123,Fateh Sawhney,,Male,6,245,23129.11,130.0,0.29,9.0,Hyderabad,0
EC100124,Mohanlal Joshi,40.0,Male,52,131,11117.92,124.0,0.01,,Bangalore,0
EC100125,Prisha Varkey,39.0,Male,8,9,17836.09,159.0,0.4,6.0,Mumbai,0
EC100126,Ritvik Bala,39.0,Male,30,146,7729.69,63.0,0.27,3.0,Hyderabad,0
EC100127,Tushar Suri,35.0,Male,69,248,4528.25,20.0,0.21,8.0,Bangalore,0
EC100128,Trisha Kara,41.0,Male,13,114,11640.7,165.0,0.01,10.0,Kolkata,0
EC100129,Rhea Varty,61.0,Male,52,211,19164.76,97.0,0.64,10.0,Ahmedabad,1
EC100130,Priyansh Dhar,48.0,Female,10,190,613.15,72.0,0.43,9.0,Pune,1
EC100131,Dhruv Shetty,54.0,Female,7,191,22412.09,83.0,0.69,10.0,Bangalore,1
EC100132,Madhav Atwal,25.0,Female,39,172,10016.73,54.0,0.56,10.0,Delhi,0
EC100133,Nirvi Choudhry,38.0,Female,65,126,4685.27,142.0,0.38,9.0,Hyderabad,0
EC100134,Uthkarsh Mall,45.0,Male,1,189,2818.33,169.0,0.25,6.0,Nagpur,0
EC100135,Divij Chowdhury,29.0,Female,35,142,3306.57,16.0,0.63,3.0,Ahmedabad,1
EC100136,Samar Kari,23.0,Female,27,195,7211.23,6.0,0.59,2.0,Mumbai,1
EC100137,Lagan Lalla,67.0,Male,25,202,2291.46,126.0,0.21,5.0,Mumbai,0
EC100138,Saira Kulkarni,40.0,Female,46,148,4362.26,59.0,0.48,6.0,Delhi,0
EC100139,Dharmajan Balasubramanian,43.0,Male,45,190,124398.0,133.0,0.3,6.0,Chennai,1
EC100140,Shanaya Aurora,,Female,20,34,24504.46,104.0,0.06,3.0,Pune,1
EC100141,Reyansh Samra,31.0,Female,12,27,19078.49,93.0,0.0,8.0,Chennai,0
EC100142,Saanvi Bahl,56.0,Male,38,234,15457.32,15.0,0.04,2.0,Ahmedabad,0
EC100143,Mamooty Chadha,21.0,Male,46,149,8261.35,161.0,0.6,4.0,Pune,1
EC100144,Indranil Lad,32.0,Female,64,74,10166.2,9.0,0.48,7.0,Bangalore,0
EC100145,Drishya Chaudry,67.0,Female,29,81,6450.18,102.0,0.49,8.0,Kolkata,1
EC100146,Anika Kar,41.0,Male,43,107,18511.94,17.0,0.3,7.0,Ahmedabad,0
EC100147,Adah Sule,31.0,??,15,52,,55.0,0.12,3.0,Bangalore,0
EC100148,Abram Taneja,65.0,Female,67,147,12063.68,133.0,0.62,4.0,Jaipur,1
EC100149,Reyansh Baral,67.0,Female,58,211,5387.14,79.0,0.26,8.0,Hyderabad,0
EC100150,Jayant Kalla,42.0,Female,65,176,23567.34,21.0,0.58,9.0,Nagpur,0
EC100151,Priyansh Sura,38.0,Male,30,202,17246.36,163.0,0.61,4.0,Kolkata,0
EC100152,Manikya Bhandari,18.0,Male,33,179,21369.11,144.0,0.11,4.0,Kolkata,1
EC100153,Anya Mammen,65.0,Male,68,204,9569.86,154.0,0.63,9.0,Nagpur,1
EC100154,Khushi Char,68.0,Male,55,40,18846.53,166.0,0.04,3.0,Delhi,1
EC100155,Zaina Zacharia,47.0,Female,22,155,9591.27,5.0,0.36,5.0,Bangalore,0
EC100156,Ira Hayre,29.0,Male,12,159,12600.78,21.0,0.11,4.0,Ahmedabad,0
EC100157,Manikya Jaggi,58.0,Female,13,227,10840.91,65.0,0.24,10.0,Jaipur,1
EC100158,Manjari Dani,45.0,Male,63,237,15706.53,102.0,0.22,3.0,Bangalore,0
EC100159,@@@@,63.0,Female,65,222,8401.12,72.0,0.36,1.0,Pune,0
EC100160,Aaina Sandhu,51.0,Male,38,82,,113.0,0.3,,Bangalore,1
EC100161,Kaira Malhotra,42.0,Male,10,201,19196.2,147.0,0.41,2.0,Mumbai,1
EC100162,Gatik Sood,54.0,Male,51,88,12837.24,13.0,0.52,2.0,Nagpur,1
EC100163,Priyansh Walla,56.0,Male,66,139,2030.32,132.0,0.56,9.0,Kolkata,1
EC100164,Kavya Mahajan,27.0,Male,29,198,22980.36,37.0,0.67,3.0,Mumbai,0
EC100165,Neelofar Rajagopal,21.0,Male,20,39,7923.04,87.0,0.57,2.0,Bangalore,0
EC100166,Inaaya  Goda,61.0,Female,39,59,6228.52,120.0,0.55,9.0,Bangalore,0
EC100167,Alisha Dasgupta,19.0,Other,66,193,293620.0,62.0,0.39,3.0,Kolkata,1
EC100168,Diya Chandra,33.0,Male,61,191,21527.31,176.0,0.32,6.0,Nagpur,0
EC100169,Mohanlal Handa,22.0,Female,20,31,611.96,144.0,0.64,5.0,Chennai,1
EC100170,Aaryahi Gera,22.0,Female,58,156,,71.0,0.49,8.0,Ahmedabad,0
EC100171,Hansh Sani,54.0,Female,19,201,24950.75,75.0,0.42,2.0,Mumbai,1
EC100172,Hazel Handa,36.0,Male,61,111,403.58,9.0,0.15,2.0,Delhi,0
EC100173,Hridaan Gill,69.0,Female,44,42,752824.0,174.0,0.7,2.0,Hyderabad,1
EC100174,Tarini Rajan,32.0,Other,43,111,13238.47,152.0,0.13,6.0,Mumbai,1
EC100175,Shamik Rao,46.0,Female,58,161,8125.33,103.0,0.12,4.0,Pune,0
EC100176,Anahita Rajan,35.0,Male,14,232,11446.88,77.0,0.04,7.0,Pune,1
EC100177,Ela Rattan,41.0,Male,48,65,23270.23,91.0,0.12,8.0,Bangalore,1
EC100178,Onkar Sood,140.0,Male,5,26,2198.98,30.0,0.56,3.0,Mumbai,1
EC100179,Ivana Saraf,,Male,44,160,17592.07,112.0,0.42,10.0,Bangalore,1
EC100180,Trisha Jaggi,24.0,Male,18,122,20757.03,40.0,0.43,2.0,Jaipur,0
EC100181,Devansh Lal,25.0,Female,71,77,8234.29,104.0,0.5,3.0,Kolkata,1
EC100182,Himmat Vyas,38.0,Male,53,8,14580.94,24.0,0.16,3.0,Pune,0
EC100183,Veer Jain,28.0,Male,16,224,14041.68,95.0,0.24,5.0,Hyderabad,0
EC100184,Anvi Varty,60.0,Female,35,165,23859.45,59.0,0.31,7.0,Pune,0
EC100185,Raunak Saran,50.0,Male,26,195,,120.0,0.31,7.0,Kolkata,1
EC100186,Zara Dave,61.0,Male,4,144,7732.77,80.0,0.48,,Ahmedabad,1
EC100187,Advik Venkatesh,68.0,Female,56,84,19611.51,79.0,0.63,6.0,Ahmedabad,1
EC100188,Mohanlal Kata,57.0,Male,67,45,1856.3,109.0,0.13,9.0,Hyderabad,0
EC100189,Mahika Dhar,63.0,Male,1,78,,22.0,0.05,3.0,Jaipur,0
EC100190,Kavya Bajwa,41.0,Male,5,124,11990.61,35.0,0.35,5.0,Pune,0
EC100191,Pranay Gade,40.0,Female,59,157,23224.66,34.0,0.1,8.0,Delhi,0
EC100192,Vaibhav Bhagat,39.0,Female,56,34,785.46,69.0,0.69,4.0,Bangalore,1
EC100193,Piya Das,44.0,Male,17,53,11446.35,25.0,0.67,4.0,Mumbai,0
EC100194,Vedika Mall,30.0,Female,66,84,367.97,96.0,0.15,8.0,Mumbai,1
EC100195,Himmat Chad,20.0,Male,17,240,4796.97,51.0,0.13,10.0,Bangalore,0
EC100196,Indranil Kala,58.0,Female,40,89,11176.34,37.0,0.39,4.0,Chennai,0
EC100197,Pranay Sheth,35.0,Male,21,163,24132.83,132.0,0.37,9.0,Bangalore,1
EC100198,Zoya Golla,19.0,Male,47,44,2515.41,124.0,0.63,7.0,Pune,1
EC100199,Eva Kant,43.0,Male,57,166,375978.0,117.0,0.11,,Chennai,1
EC100200,Krish Bora,20.0,Male,46,180,15327.6,69.0,0.22,4.0,Nagpur,1
EC100201,Anahi Dutt,,Female,25,57,16460.82,102.0,0.44,4.0,Ahmedabad,1
EC100202,Adira Mammen,68.0,Female,44,135,8202.58,160.0,0.03,2.0,Hyderabad,0
EC100203,Rania Varty,20.0,Male,31,238,6502.5,14.0,0.47,7.0,Mumbai,0
EC100204,Anahi Kumar,42.0,Female,8,153,14346.01,169.0,0.27,,Chennai,0
EC100205,Ivan Kala,33.0,Male,10,18,9837.2,159.0,0.33,4.0,Delhi,0
EC100206,Heer Toor,47.0,Female,10,229,19801.52,153.0,0.13,5.0,Ahmedabad,0
EC100207,Madhav Chada,24.0,Female,1,173,24644.61,34.0,0.23,7.0,Delhi,0
EC100208,12345,46.0,Male,11,23,18721.91,176.0,0.7,2.0,Jaipur,1
EC100209,Jayan Saraf,60.0,Female,55,169,6436.71,141.0,0.14,3.0,Bangalore,1
EC100210,Urvi Banik,40.0,Male,27,83,10774.72,162.0,0.11,5.0,Chennai,1
EC100211,Sumer Tara,66.0,Male,9,147,24968.94,48.0,0.47,8.0,Delhi,0
EC100212,Shayak Hari,-10.0,Male,5,82,23712.13,31.0,0.39,6.0,Kolkata,0
EC100213,Jhanvi Saxena,43.0,Male,48,134,23067.12,51.0,0.47,1.0,Pune,1
EC100214,Jiya Swaminathan,51.0,Male,5,42,17138.02,5.0,0.46,1.0,Hyderabad,1
EC100215,Jivika Gill,64.0,Male,67,111,23764.73,34.0,0.19,9.0,Pune,0
EC100216,Sana Varghese,25.0,Male,63,205,5014.91,34.0,0.31,8.0,Mumbai,0
EC100217,Trisha Kade,26.0,Other,48,149,20488.57,70.0,0.04,9.0,Bangalore,0
EC100218,Saira Sibal,34.0,Male,23,81,9125.5,73.0,0.47,6.0,Delhi,1
EC100219,Ryan Kale,47.0,Female,34,134,9204.65,146.0,0.21,9.0,Bangalore,0
EC100220,Keya Divan,18.0,Male,7,201,10113.61,176.0,0.51,2.0,Nagpur,0
EC100221,Kanav D’Alia,62.0,Female,11,65,14737.05,69.0,0.29,1.0,Jaipur,0
EC100222,Bhavin Mall,58.0,Male,44,35,20364.93,48.0,0.66,9.0,Bangalore,0
EC100223,Mohanlal Bala,57.0,Male,55,39,6220.06,56.0,0.65,8.0,Nagpur,0
EC100224,Prisha Sama,34.0,Female,7,205,20536.2,84.0,0.23,7.0,Ahmedabad,1
EC100225,Amani Zacharia,56.0,Male,49,198,23703.7,119.0,0.03,1.0,Jaipur,1
EC100226,Baiju Mannan,,Male,1,46,6155.49,99.0,0.03,8.0,Hyderabad,0
EC100227,Jayesh Desai,57.0,Male,46,196,21260.92,25.0,0.04,3.0,Delhi,0
EC100228,Sana Wagle,57.0,Female,39,54,8927.46,164.0,0.17,6.0,Nagpur,1
EC100229,Kiaan Ganesh,53.0,Female,61,178,778.97,73.0,0.0,9.0,Hyderabad,1
EC100230,Urvi Handa,43.0,Female,11,86,13623.64,39.0,0.5,10.0,Chennai,1
EC100231,Indranil Sidhu,49.0,Female,61,53,9289.83,,0.12,4.0,Hyderabad,0
EC100232,Taimur Dugar,29.0,Female,9,165,24627.32,105.0,0.17,10.0,Bangalore,0
EC100233,Tejas Jha,26.0,Female,1,186,16707.23,142.0,0.02,2.0,Hyderabad,0
EC100234,Amira Ahluwalia,29.0,Male,28,114,10186.34,112.0,0.21,4.0,Kolkata,0
EC100235,Nirvaan Swaminathan,30.0,Male,20,217,,46.0,0.54,3.0,Kolkata,0
EC100236,Dhruv Sahota,33.0,Male,8,219,21625.5,93.0,0.5,5.0,Delhi,1
EC100237,Navya Johal,67.0,Male,16,28,22393.13,143.0,0.41,1.0,Kolkata,1
EC100238,Gokul Bhardwaj,68.0,Female,2,221,8141.52,153.0,0.22,10.0,Ahmedabad,1
EC100239,Ivan Kashyap,65.0,Male,31,112,15136.97,15.0,0.19,9.0,Mumbai,0
EC100240,Purab Thakkar,40.0,Female,21,5,1681.67,133.0,0.26,3.0,Jaipur,1
EC100241,Prerak Shenoy,55.0,Female,6,53,2100.23,170.0,0.51,5.0,Nagpur,0
EC100242,Samaira Bhardwaj,20.0,Male,13,2,6827.08,139.0,0.11,7.0,Nagpur,1
EC100243,Sara Srivastava,56.0,Female,39,7,14883.78,168.0,0.22,1.0,Jaipur,1
EC100244,Armaan Manne,60.0,Male,20,133,20253.78,8.0,0.49,,Ahmedabad,0
EC100245,Ishita Wali,19.0,male ,66,177,2594.09,72.0,0.61,1.0,Pune,1
EC100246,Hunar Behl,52.0,Male,61,52,1988.99,55.0,0.37,,Kolkata,0
EC100247,Miraya Chandran,55.0,Male,45,232,24557.82,71.0,0.46,5.0,Hyderabad,1
EC100248,Stuvan Som,53.0,Male,53,15,11049.9,45.0,0.02,5.0,Kolkata,0
EC100249,Kismat Dalal,60.0,Male,37,78,16067.39,179.0,0.15,,Bangalore,0
EC100250,Renee Vyas,69.0,Male,61,216,14590.48,94.0,0.22,3.0,Kolkata,0
EC100251,Kabir Rama,55.0,Male,9,25,748.77,40.0,0.25,10.0,Ahmedabad,0
EC100252,Hansh Boase,62.0,Male,63,63,6150.81,122.0,0.53,10.0,Jaipur,0
EC100253,Mannat Borah,68.0,Male,18,64,542.12,7.0,0.11,10.0,Bangalore,0
EC100254,Ritvik Yogi,62.0,Female,44,124,13543.8,37.0,0.08,4.0,Jaipur,0
EC100255,@@@@,67.0,Female,23,162,,3.0,0.56,10.0,Chennai,1
EC100256,Baiju Mallick,49.0,male ,66,188,9541.8,,0.02,3.0,Ahmedabad,0
EC100257,Samiha Ganesh,33.0,Male,31,210,3736.86,152.0,0.68,8.0,Pune,1
EC100258,Lakshit Bhagat,39.0,Male,7,105,2195.64,89.0,0.63,8.0,Nagpur,0
EC100259,Ryan Kapur,21.0,Female,18,75,5306.7,37.0,0.39,10.0,Hyderabad,1
EC100260,Kabir Dyal,27.0,Male,68,201,16796.26,6.0,0.31,7.0,Chennai,0
EC100261,Rhea Sampath,47.0,Male,70,72,8667.78,37.0,0.16,,Nagpur,0
EC100262,Anahita Varkey,48.0,Female,14,212,4611.03,,0.64,7.0,Ahmedabad,1
EC100263,Anay Yogi,53.0,Male,32,78,24842.04,166.0,0.21,8.0,Nagpur,1
EC100264,Nehmat Sani,58.0,Female,40,74,1100.44,18.0,0.17,4.0,Pune,1
EC100265,Aayush Krishna,42.0,Male,41,25,23539.65,32.0,0.44,8.0,Jaipur,0
EC100266,Purab Krishna,48.0,Female,15,30,12310.64,62.0,0.69,8.0,Jaipur,0
EC100267,Mamooty Lata,57.0,Male,21,144,241499.0,23.0,0.59,4.0,Delhi,0
EC100268,Kavya Ray,40.0,Female,37,216,5668.07,156.0,0.39,10.0,Delhi,1
EC100269,Sara Goyal,35.0,Female,45,52,15401.32,134.0,0.52,2.0,Delhi,1
EC100270,Yashvi Joshi,22.0,Male,14,111,11177.71,78.0,0.07,7.0,Hyderabad,0
EC100271,Renee Gade,35.0,Female,65,61,6850.26,165.0,0.31,5.0,Delhi,0
EC100272,Pihu Sankaran,36.0,Female,61,50,19565.48,134.0,0.19,10.0,Bangalore,1
EC100273,Uthkarsh Garde,37.0,Male,30,101,273.24,53.0,0.34,2.0,Hyderabad,0
EC100274,Anahita Seshadri,36.0,Female,23,197,14324.84,90.0,0.45,8.0,Nagpur,0
EC100275,Yashvi Din,25.0,Male,21,67,15457.17,95.0,0.51,1.0,Jaipur,1
EC100276,Samaira Sangha,21.0,Male,50,107,12785.56,130.0,0.45,3.0,Delhi,1
EC100277,Renee Gulati,52.0,Male,52,98,10304.43,168.0,0.58,7.0,Chennai,1
EC100278,Akarsh Tiwari,30.0,Male,49,192,8359.86,65.0,0.36,4.0,Jaipur,1
EC100279,Jayant Bala,48.0,Female,22,215,21133.5,12.0,0.28,9.0,Pune,0
