Index,CustomerID,Name,Tenure,MonthlyCharges,TotalCharges,InternetService,DataUsage,CustomerSupportCalls,Complaints,AutoPay,LastRechargeDaysAgo,Churn
105.0,CUST100104,Anjali Verma,30,2490.04,74894.15,Cellular,5.6,1,3,Yes,91,No
106.0,CUST100105,Rahul Singh,5,2546.51,12728.85,DSL,36.14,8,1,No,78,No
107.0,CUST100106,Amit Joshi,25,2477.0,62032.8,Cellular,9.35,5,3, yes ,18,Yes
108.0,CUST100107,Rahul Kumar,19,999.0,18877.96,Fiber,5.74,9,4,NO,10,No
109.0,CUST100108,Amit Sharma,2,100000,618.73,Cellular,16.83,9,4, yes ,22,No
110.0,CUST100109,Kiran Gupta,1,199.0,127.94,Fiber,40.49,0,4,No,72,No
111.0,CUST100110,Anjali Reddy,14,196.16,2710.98,DSL,17.44,0,4, yes ,61,No
112.0,CUST100111,Rohit Reddy,49,999.0,48800.72,DSL,36.54,8,1,No,75,No
113.0,CUST100112,Sneha Yadav,0,2499.0,96.45,Cellular,28.72,7,2,No,104,No
114.0,CUST100113,Amit Yadav,59,399.0,23406.46,Cellular,8.21,4,2, yes ,77,No
115.0,CUST100114,Amit Singh,3,2499.0,,Fiber,29.42,1,2,NO,37,No
116.0,CUST100115,Sneha Naik,62,999.27,61847.63,Cellular,44.98,6,1,Yes,77,Yes
117.0,CUST100116,Amit Verma,50,2499.0,124967.14,Cellular,21.58,2,2,No,71,No
118.0,CUST100117,Priya Sharma,14,2499.0,35137.45,Cellular,24.77,6,2,Yes,35,No
119.0,CUST100118,Vikas Joshi,56,199.0,11068.69,Cellular,12.42,6,0,NO,67,No
120.0,CUST100119,Rohit Sharma,9,698.4,6387.45,Cellular,5.15,  3 ,4,NO,87,No
121.0,CUST100120,Neha Joshi,14,228.73,3062.19,Fiber,11.46,1,2, yes ,94,No
122.0,CUST100121,Kiran Gupta,35,703.27,24515.17,Cellular,17.28,9,1,NO,45,No
123.0,CUST100122,Priya Verma,12,399.0,4643.65,Cellular,5.04,0,3, yes ,42,No
124.0,CUST100123,Vikas Gupta,67,2499.0,167549.03,DSL,1.15,9,0, yes ,91,No
125.0,CUST100124,Anjali Patil,8,699.0,5561.65,,36.82,7,0,No,85,No
126.0,CUST100125,Anjali Patil,0,399.0,-154.7,Fiber,49.24,3,0,NO,0,No
127.0,CUST100126,Kiran Singh,54,699.0,37636.96,Cellular,30.39,8,4, yes ,8,Yes
128.0,CUST100127,Rahul Naik,56,649.46,36303.16,Cellular,19.91,8,1,NO,74,No
129.0,CUST100128,Sneha Sharma,6,699.0,4132.78,Cellular,36.88,0,2, yes ,58,No
130.0,CUST100129,Amit Sharma,50,399.0,19849.29,Cellular,28.88,3,4,Yes,87,No
131.0,CUST100130,Vikas Sharma,28,207.06,5850.59,Fiber,0.65,4,0, yes ,70,No
132.0,CUST100131,Priya Yadav,48,399.0,19174.92,DSL,43.03,7,0,NO,70,No
133.0,CUST100132,Neha Patil,12,199.0,2346.93,DSL,21.34,7,2, yes ,61,Yes
134.0,CUST100133,Neha Joshi,28,699.0,19621.99,Fiber,18.89,7,2,NO,17,No
135.0,CUST100134,Kiran Singh,46,999.0,45965.06,Fiber,26.72,0,1,NO,93,No
136.0,CUST100135,Rahul Gupta,62,399.0,24579.19,Cellular,16.72,6,2,NO,31,Yes
137.0,CUST100136,Sneha Singh,33,999.0,32930.49,Fiber,1.27,1,4,Yes,7,Yes
138.0,CUST100137,Rahul Gupta,66,199.0,13026.43,Cellular,33.59,7,0,No,110,No
139.0,CUST100138,Rohit Joshi,50,714.27,35608.77,Fiber,4.97,7,2, yes ,15,No
140.0,CUST100139,Pooja Kumar,36,399.0,14220.43,Fiber,20.32,6,1,Yes,6,No
141.0,CUST100140,Neha Verma,32,2499.0,79851.15,Cellular,1.33,2,3,NO,28,No
142.0,CUST100141,Neha Singh,1,699.0,863.25,Cellular,31.24,9,1, yes ,66,No
143.0,CUST100142,Vikas Naik,11,232.07,2490.85,Cellular,38.69,8,1, yes ,52,No
144.0,CUST100143,Kiran Yadav,23,960.42,22115.97,DSL,49.27,6,0,No,113,Yes
145.0,CUST100144,Priya Joshi,13,1023.17,13380.75,Cellular,20.13,8,2,No,109,No
146.0,CUST100145,Amit Yadav,57,699.0,40003.23,Fiber,34.56,4,2, yes ,69,No
147.0,CUST100146,Neha Gupta,41,706.65,28882.27,Fiber,27.71,8,1,Yes,75,Yes
148.0,CUST100147,Rahul Reddy,26,999.0,26134.01,DSL,43.69,7,1, yes ,11,No
149.0,CUST100148,Amit Naik,52,366.54,19225.84,Fiber,20.94,9,1, yes ,53,No
150.0,CUST100149,Rahul Yadav,,999.0,49786.13,Fiber,38.55,4,2,No,39,No
151.0,CUST100150,Sneha Patil,35,699.0,24552.62,Fiber,14.86,2,1,Yes,54,No
152.0,CUST100151,Vikas Naik,21,999.0,21072.03,DSL,10.75,3,3,No,82,No
153.0,CUST100152,Anjali Reddy,61,399.0,24521.09,Fiber,7.73,8,1,NO,65,Yes
154.0,CUST100153,Sneha Yadav,39,999.0,39052.28,Cellular,24.77,7,1,No,24,Yes
155.0,CUST100154,Sneha Naik,2,999.0,1829.11,Fiber,0.12,2,1,NO,11,No
156.0,CUST100155,Anjali Reddy,43,699.0,30179.97,Cellular,48.1,0,1, yes ,56,No
157.0,CUST100156,Kiran Verma,46,199.0,8988.68,Cellular,47.91,2,4,Yes,80,No
158.0,CUST100157,Neha Reddy,69,2499.0,172623.23,Cellular,45.17,9,0, yes ,108,No
159.0,CUST100158,Rohit Verma,31,219.56,6976.46,Cellular,9.03,4,1,NO,6,Yes
160.0,CUST100159,Anjali Reddy,6,2478.73,15042.14,Cellular,48.55,6,,Yes,81,No
161.0,CUST100160,Priya Joshi,38,699.0,26544.06,Cellular,26.12,6,0,Yes,13,No
162.0,CUST100161,Rahul Patil,59,2499.0,147433.42,Cellular,44.25,7,1,NO,54,No
163.0,CUST100162,Pooja Gupta,38,699.0,26488.12,Cellular,26.97,5,0,Yes,12,No
164.0,CUST100163,Vikas Kumar,15,399.0,5955.73,Fiber,43.83,1,2,   yes  ,41,No
165.0,CUST100164,Rahul Gupta,12,699.0,8399.57,Fiber,46.95,2,2,Yes,38,Yes
166.0,CUST100165,Vikas Joshi,28,725.72,20280.93,DSL,23.99,8,3,No,110,No
167.0,CUST100166,Pooja Kumar,29,699.0,20238.11,Fiber,21.07,4,0,Yes,93,Yes
168.0,CUST100167,Pooja Naik,44,699.0,30697.85,Cellular,14.36,3,1,Yes,61,No
169.0,CUST100168,Priya Kumar,47,999.0,46760.15,Fiber,49.39,8,0, yes ,87,Yes
170.0,CUST100169,Amit Verma,58,699.0,40721.98,Cellular,39.32,5,2, yes ,61,No
171.0,CUST100170,Rahul Gupta,24,723.34,17186.15,Cellular,20.08,5,4,Yes,114,No
172.0,CUST100171,Priya Singh,56,2499.0,139832.19,Fiber,9.32,2,4,NO,4,No
173.0,CUST100172,Rahul Joshi,48,399.0,19159.3,Cellular,29.86,0,4,NO,105,No
174.0,CUST100173,Anjali Gupta,61,2499.0,152637.53,Cellular,44.87,2,4,No,119,No
175.0,CUST100174,Pooja Verma,67,1007.01,67306.26,Fiber,43.87,2,2,NO,91,No
176.0,CUST100175,Priya Patil,66,199.0,13316.26,Cellular,43.11,8,0, yes ,4,No
177.0,CUST100176,Vikas Gupta,37,674.98,25063.63,Fiber,24.79,5,4,NO,59,Yes
178.0,CUST100177,Anjali Singh,27,156.61,4368.95,Cellular,24.76,2,1,Yes,66,No
179.0,CUST100178,Rahul Reddy,39,405.57,15724.04,Cellular,43.93,2,3,No,96,Yes
180.0,CUST100179,Kiran Verma,47,2499.0,117536.35,DSL,41.85,8,4,No,41,Yes
181.0,CUST100180,Amit Reddy,26,2499.0,65075.09,Fiber,7.93,9,0,No,114,No
182.0,CUST100181,Rahul Reddy,41,361.89,14771.54,Fiber,37.18,1,3,No,1,No
183.0,CUST100182,Pooja Patil,11,199.0,1991.55,Cellular,14.35,0,0, yes ,16,Yes
184.0,CUST100183,Vikas Gupta,59,399.0,23344.63,DSL,40.93,5,2,No,29,Yes
185.0,CUST100184,Kiran Sharma,62,999.0,61894.86,Cellular,8.97,4,4,NO,21,No
186.0,CUST100185,Kiran Verma,67,199.0,13253.39,Cellular,35.41,5,0,NO,9,No
187.0,CUST100186,Rohit Naik,21,999.0,21027.37,Cellular,2.29,1,4,No,75,No
188.0,CUST100187,Kiran Verma,51,399.0,20452.31,,1.23,0,2,NO,74,No
189.0,CUST100188,Sneha Verma,25,964.89,24109.67,Fiber,47.22,2,4,NO,104,Yes
190.0,CUST100189,Vikas Verma,28,1018.37,28402.67,Cellular,4.12,3,2,NO,26,No
191.0,CUST100190,Vikas Gupta,55,2499.0,137417.93,Cellular,47.18,4,2,Yes,83,No
192.0,CUST100191,Kiran Verma,56,193.23,10745.66,Cellular,16.04,5,1,NO,60,Yes
193.0,CUST100192,Kiran Reddy,24,699.0,16861.97,DSL,28.14,7,3, yes ,45,Yes
194.0,CUST100193,Kiran Verma,52,999.0,51809.46,Cellular,22.68,1,3,NO,70,No
195.0,CUST100194,Kiran Sharma,63,978.42,61805.19,Cellular,48.38,3,0,NO,93,Yes
196.0,CUST100195,Amit Kumar,16,399.0,6426.92,Fiber,12.38,8,0,NO,59,Yes
197.0,CUST100196,Anjali Reddy,1,699.0,818.02,Cellular,15.52,0,4, yes ,17,No
198.0,CUST100197,Pooja Yadav,37,199.0,7279.67,Fiber,34.75,0,3,NO,101,No
199.0,CUST100198,Neha Reddy,10,399.0,3982.2,Cellular,5.25,0,3,Yes,45,Yes
200.0,CUST100199,,53,399.0,21194.26,Fiber,35.12,9,1, yes ,96,No
201.0,CUST100200,Neha Verma,32,2537.25,81025.0,Cellular,  41.23 ,9,1, yes ,37,No
202.0,CUST100201,Anjali Yadav,45,1018.32,45952.98,Cellular,2.06,0,2, yes ,60,No
203.0,CUST100202,Rohit Verma,5,199.0,1032.91,DSL,30.83,8,1,NO,75,No
204.0,CUST100203,Rahul Singh,49,2499.0,122501.12,Cellular,39.17,6,2,NO,83,No
205.0,CUST100204,Priya Verma,5,230.73,1134.58,Cellular,32.18,8,3, yes ,105,No
206.0,CUST100205,Amit Verma,11,399.0,4287.84,Cellular,7.98,2,1, yes ,18,No
207.0,CUST100206,Kiran Patil,44,367.21,16273.12,Fiber,32.94,2,3,NO,81,Yes
208.0,CUST100207,Kiran Sharma,21,399.0,8311.93,Fiber,27.12,2,3,No,73,No
209.0,CUST100208,Sneha Kumar,60,2499.0,149768.88,Cellular,1.53,,3,NO,48,No
210.0,CUST100209,Pooja Gupta,30,990.59,29856.2,Fiber,31.44,3,3,No,23,No
211.0,CUST100210,Priya Patil,50,399.0,19981.47,Cellular,21.93,4,1, yes ,99,No
212.0,CUST100211,Anjali Kumar,33,2528.3,83495.9,Cellular,49.61,9,4,No,11,No
213.0,CUST100212,Anjali Verma,17,699.0,11935.62,Fiber,36.66,2,1,No,7,No
214.0,CUST100213,,41,2472.75,101571.31,Cellular,9.05,4,4,NO,40,Yes
215.0,CUST100214,Amit Kumar,59,689.5,40717.67,Fiber,28.97,3,1, yes ,102,  Yes 
216.0,CUST100215,Anjali Gupta,27,399.0,10676.25,Fiber,32.84,0,3,NO,55,No
217.0,CUST100216,Sneha Singh,22,999.0,21959.52,Fiber,  11.8 ,2,1,NO,92,No
218.0,CUST100217,Pooja Verma,0,693.94,35.15,Fiber,47.43,8,3, yes ,27,Yes
219.0,CUST100218,Pooja Naik,36,199.0,7106.69,Cellular,26.68,0,0,Yes,119,No
220.0,CUST100219,Sneha Singh,27,735.42,19879.6,Cellular,27.0,3,1,No,77,Yes
221.0,CUST100220,Amit Reddy,36,2499.0,90138.64,Fiber,1.97,6,2,No,69,Yes
222.0,CUST100221,Sneha Naik,58,399.0,23068.46,DSL,25.36,9,3, yes ,52,No
223.0,CUST100222,Amit Singh,42,999.0,41764.95,Cellular,16.16,8,2, yes ,49,No
224.0,CUST100223,Sneha Sharma,37,999.0,36818.86,Cellular,1.5,3,1,No,105,No
225.0,CUST100224,Vikas Sharma,7,399.0,2980.96,DSL,4.7,7,4,NO,95,Yes
226.0,CUST100225,Sneha Naik,46,999.0,46031.05,Cellular,41.91,9,2, yes ,73,Yes
227.0,CUST100226,Amit Patil,16,699.0,11316.35,Fiber,43.23,0,3,No,90,No
228.0,CUST100227,Sneha Joshi,45,440.87,19879.39,Cellular,47.04,4,4, yes ,104,Yes
229.0,CUST100228,Amit Reddy,65,248.94,16000.38,Cellular,48.86,8,0, yes ,47,No
230.0,CUST100229,Priya Naik,30,199.0,6065.38,Cellular,43.93,5,3,Yes,101,No
231.0,CUST100230,Sneha Sharma,12,228.78,2719.59,Fiber,40.89,7,0, yes ,84,No
232.0,CUST100231,Anjali Reddy,70,199.0,13955.38,Fiber,19.02,8,0,No,48,No
233.0,CUST100232,Kiran Naik,34,399.0,13456.91,DSL,3.66,2,1,No,65,No
234.0,CUST100233,Amit Gupta,2,399.0,814.95,Cellular,47.57,1,3, yes ,116,No
235.0,CUST100234,Pooja Naik,24,199.0,4728.08,Cellular,19.94,4,3,No,99,No
,CUST100235,Neha Sharma,47,999.0,46972.77,Cellular,37.34,4,2,Yes,  118 ,No
237.0,CUST100236,Pooja Yadav,14,199.0,2683.39,Cellular,46.35,3,4,Yes,12,No
238.0,CUST100237,Rohit Singh,33,665.63,22012.73,Cellular,26.15,2,1, yes ,35,No
239.0,CUST100238,Sneha Patil,1,999.0,908.05,Cellular,20.68,8,2, yes ,6,No
240.0,CUST100239,Neha Verma,38,2499.0,94972.07,Cellular,35.45,7,0,Yes,  41 ,Yes
241.0,CUST100240,Sneha Kumar,55,699.0,38630.17,Cellular,24.18,6,0,No,43,Yes
242.0,CUST100241,Neha Naik,46,699.0,32334.56,DSL,30.08,5,4,No,85,No
243.0,CUST100242,Vikas Patil,25,399.0,9859.82,Cellular,30.55,9,0,No,41,No
244.0,CUST100243,Priya Gupta,48,699.0,33446.75,Cellular,39.03,1,2,NO,99,No
245.0,CUST100244,Anjali Kumar,17,999.0,17089.66,Fiber,7.49,6,1,Yes,68,Yes
246.0,CUST100245,Kiran Sharma,32,999.0,31854.7,Cellular,4.79,4,2,NO,91,Yes
247.0,CUST100246,Priya Yadav,10,2499.0,24882.78,Cellular,19.55,8,0,NO,1,Yes
248.0,CUST100247,Neha Kumar,6,999.0,6072.06,Cellular,20.22,5,4,No,38,No
249.0,CUST100248,Vikas Gupta,23,199.0,4428.36,Fiber,5.21,9,  1 ,No,31,Yes
250.0,CUST100249,Rahul Singh,35,399.0,13799.26,DSL,44.71,2,0,No,7,No
251.0,CUST100250,Vikas Singh,69,699.0,48173.0,Cellular,3.47,0,3,Yes,1,No
252.0,CUST100251,Kiran Sharma,43,699.0,29950.48,Cellular,27.0,5,1,No,66,No
253.0,CUST100252,Neha Patil,57,382.3,21858.89,Fiber,49.71,1,0,No,34,No
254.0,CUST100253,Rohit Singh,29,2499.0,72404.43,Fiber,29.02,9,3,Yes,68,Yes
255.0,CUST100254,Rohit Reddy,30,999.0,30071.94,Cellular,8.52,9,0,No,54,No
256.0,CUST100255,Neha Kumar,16,399.0,6304.34,Cellular,49.06,2,4,NO,22,No
257.0,CUST100256,Neha Naik,4,699.0,2890.87,Fiber,38.43,0,0,NO,29,No
  258.0 ,CUST100257,Pooja Sharma,69,2499.0,172333.82,Cellular,39.4,0,4,No,15,No
259.0,CUST100258,Rahul Gupta,13,960.76,12380.82,DSL,17.08,8,4,No,1,No
260.0,CUST100259,Rahul Sharma,64,999.0,63858.21,Cellular,19.85,6,1,NO,67,No
261.0,CUST100260,,5,2499.0,12662.76,DSL,24.85,5,3,No,100,No
262.0,CUST100261,Kiran Sharma,11,2499.0,27661.24,DSL,5.82,1,4,NO,34,No
263.0,CUST100262,Amit Reddy,29,399.0,11659.57,DSL,7.06,6,3,No,13,Yes
264.0,CUST100263,Anjali Yadav,20,951.29,18887.32,Cellular,11.18,3,1, yes ,9,No
265.0,CUST100264,Neha Gupta,24,999.0,23967.74,Fiber,15.69,0,4,NO,51,No
266.0,CUST100265,Vikas Verma,40,199.0,8090.08,Cellular,33.32,1,4,No,97,No
267.0,CUST100266,Amit Verma,67,699.0,46664.99,Cellular,38.84,3,1,NO,92,Yes
268.0,CUST100267,Priya Kumar,5,149.03,552.23,DSL,30.13,6,2, yes ,30,Yes
269.0,CUST100268,Kiran Sharma,33,394.98,12857.61,Fiber,49.74,7,0,NO,86,Yes
270.0,CUST100269,Anjali Reddy,20,2499.0,49828.55,Cellular,15.16,2,3,Yes,96,No
271.0,CUST100270,Amit Patil,39,730.4,28531.69,Cellular,15.31,3,3,NO,37,No
272.0,CUST100271,Amit Joshi,62,199.0,12454.84,Fiber,20.24,2,2,NO,91,No
273.0,CUST100272,Vikas Patil,70,699.0,49023.45,Cellular,38.47,6,1,No,61,No
274.0,CUST100273,Priya Singh,20,699.0,14084.12,Cellular,6.86,6,4,NO,64,No
275.0,CUST100274,Kiran Gupta,52,2529.15,131699.63,Cellular,24.39,2,0, yes ,59,No
276.0,CUST100275,Pooja Joshi,20,1033.44,20508.03,Cellular,24.41,3,1,Yes,51,Yes
