Subscriber_ID,Name,Age,Gender,Subscription_Type,Subscription_Tenure_Months,Monthly_Subscription_Fee,Usage_Hours_Per_Week,Days_Since_Last_Login,Payment_Failure_Count,Customer_Support_Tickets,Customer_Satisfaction_Score,Device_Type,City,Churn_Status
SUB100023,Dhruv Das,43.0,Female,Basic,68,670.0,37.0,68,5,8,2.0,Mobile,Jaipur,1
SUB100024,Dishani Andra,22.0,Female,Basic,68,1285.0,34.5,28,0,1,9.0,Smart TV,Kolkata,0
SUB100025,Jhanvi Gokhale,69.0,Female,Premium,27,668.0,22.7,151,2,7,5.0,Laptop,Mumbai,0
SUB100026,Divyansh Sanghvi,66.0,Male,Basic,32,2425.0,42.1,65,0,3,2.0,Tablet,Jaipur,0
SUB100027,Kabir Ganguly,35.0,Female,Standard,8,2356.0,,21,7,4,6.0,Mobile,Bangalore,0
SUB100028,Neysa Dash,,Female,Standard,67,1112.0,0.0,117,3,13,7.0,Smart TV,Bangalore,1
SUB100029,Mahika Ravi,65.0,Male,Standard,55,1405.0,24.6,13,0,14,10.0,Smart TV,Chennai,0
SUB100030,###,33.0,Female,Family,14,2114.0,37.8,39,1,12,4.0,Tablet,Bangalore,0
SUB100031,Ivan Kaul,47.0,Male,Basic,37,566.0,15.9,179,0,6,5.0,Mobile,Nagpur,0
SUB100032,Taran Sama,38.0,Male,Family,43,2280.0,15.6,152,0,11,6.0,Smart TV,Hyderabad,1
SUB100033,Farhan Dass,59.0,Female,Standard,11,1175.0,7.3,78,2,11,4.0,Tablet,Delhi,1
SUB100034,Ojas Madan,49.0,Female,Family,25,1275.0,4.8,121,5,12,8.0,Mobile,Ahmedabad,0
SUB100035,Dhanush Sethi,47.0,Female,Family,39,796.0,4.1,132,6,5,,Smart TV,Nagpur,1
SUB100036,Zaina Basak,24.0,Female,Premium,14,180.0,6.7,26,3,3,6.0,Mobile,Mumbai,0
SUB100037,Samaira Mani,58.0,Female,Basic,19,347.0,33.6,95,3,9,,Smart TV,Chennai,1
SUB100038,Oorja Sridhar,18.0,Female,Premium,56,1614.0,36.1,125,2,0,8.0,Mobile,Nagpur,0
SUB100039,Eshani Kara,33.0,Male,Premium,30,2231.0,37.8,131,3,3,7.0,Smart TV,Pune,1
SUB100040,Urvi Tripathi,21.0,Male,Premium,23,1818.0,34.5,151,2,11,3.0,Laptop,Jaipur,1
SUB100041,Ayesha Lata,54.0,Female,Standard,35,911.0,8.1,124,5,12,5.0,Laptop,Hyderabad,1
SUB100042,Shalv Gupta,51.0,Female,Basic,2,995.0,24.7,9,7,3,10.0,Mobile,Chennai,0
SUB100043,Azad Agrawal,55.0,Female,Basic,10,1969.0,27.6,171,6,3,4.0,Mobile,Hyderabad,1
SUB100044,Aarush Bawa,27.0,Other,Standard,69,1312.0,35.5,109,2,9,1.0,Mobile,Chennai,1
SUB100045,Hazel Buch,42.0,Female,Family,1,,,46,1,7,5.0,Mobile,Hyderabad,0
SUB100046,Dhanuk Rau,67.0,Male,Basic,28,1843.0,40.0,63,0,10,4.0,Smart TV,Ahmedabad,0
SUB100047,Ela Mallick,37.0,Male,Standard,41,1535.0,37.4,30,4,1,9.0,Smart TV,Bangalore,0
SUB100048,Shray Agate,52.0,Male,Standard,1,1816.0,14.4,167,2,8,7.0,Mobile,Pune,0
SUB100049,Bhavin Sastry,,Male,Premium,29,2137.0,5.6,126,1,14,7.0,Tablet,Bangalore,0
SUB100050,Anvi Walia,42.0,Female,Premium,11,148.0,42.8,44,3,5,10.0,Laptop,Kolkata,0
SUB100051,Arnav Hayer,49.0,Male,Standard,50,1243.0,9.4,119,5,1,1.0,Mobile,Nagpur,1
SUB100052,Hansh Amble,,Male,Standard,66,146.0,13.8,146,3,10,2.0,Tablet,Mumbai,0
SUB100053,Romil Anand,27.0,Male,Standard,33,1287.0,24.8,3,1,8,6.0,Laptop,Nagpur,0
SUB100054,Lagan Tiwari,56.0,Female,Standard,17,2131.0,33.4,21,5,9,10.0,Smart TV,Nagpur,0
SUB100055,Shaan Kulkarni,50.0,Male,Standard,33,157.0,38.7,20,6,14,5.0,Mobile,Pune,1
SUB100056,12345,63.0,Female,Basic,54,1839.0,1.6,159,1,12,5.0,Laptop,Chennai,1
SUB100057,Azad Bhatnagar,55.0,Female,Premium,44,1126.0,3.2,43,6,4,6.0,Mobile,Nagpur,1
SUB100058,Farhan Hans,40.0,Female,Family,20,1074.0,36.0,110,1,7,8.0,Tablet,Hyderabad,1
SUB100059,Urvi Ray,42.0,Female,Basic,58,902.0,14.8,164,6,9,8.0,Tablet,Jaipur,0
SUB100060,Manikya Rastogi,33.0,Male,Family,13,2175.0,25.0,108,3,5,,Tablet,Hyderabad,0
SUB100061,Purab Chopra,29.0,Female,Standard,57,1920.0,44.2,95,2,11,8.0,Smart TV,Chennai,1
SUB100062,Indrajit Rana,29.0,Female,Standard,26,1092.0,8.9,79,7,1,,Laptop,Mumbai,0
SUB100063,Sara Bhargava,47.0,Female,Premium,40,11880.0,7.3,18,1,12,7.0,Tablet,Mumbai,0
SUB100064,Mamooty Wason,30.0,Male,Standard,4,1971.0,7.4,93,6,0,2.0,Laptop,Chennai,1
SUB100065,Gokul Bobal,32.0,Male,Standard,1,2455.0,0.6,115,2,1,5.0,Mobile,Kolkata,1
SUB100066,Samaira Gupta,25.0,Female,Standard,47,,16.9,179,4,3,9.0,Mobile,Kolkata,0
SUB100067,Tanya Jani,50.0,Male,Standard,17,466.0,29.7,57,1,6,4.0,Smart TV,Chennai,0
SUB100068,Anay Lall,25.0,Male,Basic,60,1347.0,22.1,0,4,9,6.0,Mobile,Bangalore,0
SUB100069,Shray Buch,20.0,Male,Premium,28,,38.2,122,6,10,9.0,Tablet,Kolkata,1
SUB100070,Vritika Varghese,38.0,Female,Premium,22,1249.0,43.3,59,5,6,7.0,Smart TV,Mumbai,0
SUB100071,Shalv Magar,54.0,Male,Family,67,612.0,33.8,148,7,13,9.0,Mobile,Chennai,0
SUB100072,Heer Dewan,50.0,Female,Basic,64,577.0,33.1,106,3,5,1.0,Laptop,Chennai,1
SUB100073,Zain Joshi,38.0,Male,Basic,48,2056.0,22.2,91,3,3,7.0,Tablet,Mumbai,0
SUB100074,Arhaan Khurana,51.0,Female,Basic,26,1885.0,15.2,3,5,1,2.0,Smart TV,Ahmedabad,0
SUB100075,Shanaya Bora,20.0,Male,Premium,47,381.0,0.3,140,0,2,7.0,Laptop,Chennai,1
SUB100076,Ahana  Sathe,33.0,Male,Basic,12,,14.6,92,3,7,4.0,Smart TV,Delhi,0
SUB100077,Mishti Srinivas,18.0,Male,Standard,1,1158.0,29.9,118,4,7,7.0,Laptop,Mumbai,1
SUB100078,Anahi Sridhar,32.0,Male,Premium,25,615.0,27.1,156,0,13,10.0,Mobile,Ahmedabad,0
SUB100079,Sara Chandra,61.0,Male,Standard,68,513.0,24.9,52,4,6,10.0,Tablet,Nagpur,0
SUB100080,Vritika Bahri,51.0,Female,Premium,55,1627.0,,130,6,2,1.0,Mobile,Kolkata,1
SUB100081,Mehul Thaman,32.0,Female,Family,21,44843.0,18.9,33,4,12,6.0,Smart TV,Kolkata,0
SUB100082,Alia Chadha,48.0,Male,Premium,9,1279.0,37.0,136,3,7,9.0,Smart TV,Nagpur,1
SUB100083,Trisha Sule,50.0,Female,Standard,43,906.0,,151,4,2,5.0,Smart TV,Nagpur,1
SUB100084,Shray Kale,69.0,Male,Premium,7,1016.0,39.2,179,7,7,5.0,Smart TV,Chennai,0
SUB100085,Yasmin Master,69.0,Male,Premium,61,2064.0,23.7,39,6,4,8.0,Mobile,Bangalore,0
SUB100086,Gatik Shroff,66.0,Female,Premium,54,814.0,9.0,111,1,4,2.0,Mobile,Jaipur,1
SUB100087,Divit Mand,21.0,Male,Basic,19,105.0,20.4,78,7,11,7.0,Mobile,Bangalore,1
SUB100088,Alia Dhar,37.0,Female,Premium,7,1007.0,27.5,127,7,13,9.0,Mobile,Nagpur,1
SUB100089,Keya Dara,20.0,Female,Standard,24,2127.0,29.2,159,6,6,1.0,Mobile,Delhi,0
SUB100090,Gatik Golla,43.0,Female,Family,1,66109.0,23.2,74,5,7,9.0,Tablet,Delhi,1
SUB100091,Advik Iyer,23.0,Male,Basic,23,1911.0,31.4,20,2,0,5.0,Smart TV,Jaipur,0
SUB100092,Nirvaan Ahluwalia,55.0,Female,Standard,4,1644.0,44.4,96,5,4,1.0,Laptop,Ahmedabad,1
SUB100093,Miraan Guha,32.0,Male,Standard,64,2476.0,27.8,167,4,10,6.0,Laptop,Kolkata,0
SUB100094,Trisha Contractor,57.0,Other,Standard,11,218.0,39.3,113,4,4,1.0,Smart TV,Bangalore,0
SUB100095,Aarna Tiwari,62.0,Other,Basic,51,1697.0,20.7,9,0,4,3.0,Tablet,Bangalore,0
SUB100096,Nitya Hari,41.0,Male,Premium,55,1550.0,23.3,161,7,3,1.0,Tablet,Mumbai,0
SUB100097,Samiha Madan,,Male,Family,31,866.0,23.2,7,0,13,7.0,Smart TV,Jaipur,0
SUB100098,Anika Kunda,21.0,Male,Family,36,940.0,11.8,65,3,14,2.0,Laptop,Ahmedabad,1
SUB100099,Samarth Bose,39.0,Female,Basic,24,812.0,29.4,94,1,12,5.0,Mobile,Pune,0
SUB100100,Tiya Jaggi,51.0,Male,Family,23,809.0,0.6,65,5,0,,Tablet,Ahmedabad,1
SUB100101,Aradhya Upadhyay,55.0,Female,Premium,8,1166.0,44.7,164,7,2,10.0,Mobile,Delhi,0
SUB100102,Anya Sunder,47.0,Female,Basic,25,2097.0,8.5,110,0,0,10.0,Smart TV,Mumbai,0
SUB100103,Nirvi Mandal,35.0,Male,Family,6,86636.0,3.4,61,0,11,10.0,Laptop,Mumbai,0
SUB100104,Alisha Sama,52.0,Male,Basic,61,1346.0,30.1,23,7,13,6.0,Tablet,Kolkata,0
SUB100105,Sana Aggarwal,31.0,Female,Premium,39,123.0,15.5,46,2,3,7.0,Smart TV,Mumbai,0
SUB100106,Piya Anne,40.0,Female,Family,15,1392.0,44.9,0,7,4,3.0,Mobile,Delhi,0
SUB100107,Dhruv Batta,67.0,Male,Premium,53,2469.0,24.7,91,7,11,6.0,Mobile,Chennai,0
SUB100108,Manikya Dora,39.0,Male,Premium,24,107.0,,162,5,0,9.0,Laptop,Kolkata,1
SUB100109,Yuvraj  Divan,53.0,Male,Basic,31,1974.0,14.8,135,6,13,10.0,Tablet,Kolkata,1
SUB100110,Ahana  Saini,37.0,Female,Standard,36,896.0,14.1,158,2,5,7.0,Tablet,Mumbai,1
SUB100111,Indrans Viswanathan,26.0,Male,Standard,70,1744.0,19.5,149,6,4,6.0,Mobile,Kolkata,1
SUB100112,Damini Randhawa,53.0,Female,Basic,29,1063.0,31.4,91,1,8,5.0,Tablet,Nagpur,1
SUB100113,Romil Sani,51.0,Female,Family,15,276.0,0.9,60,1,4,10.0,Smart TV,Jaipur,0
SUB100114,Ela Ganesan,32.0,Male,Premium,35,1485.0,12.4,165,1,13,5.0,Mobile,Bangalore,0
SUB100115,Aarna Goda,49.0,Male,Family,22,246.0,38.8,112,2,10,5.0,Laptop,Hyderabad,0
SUB100116,Ayesha Lad,22.0,Male,Standard,19,1321.0,10.1,127,3,2,,Smart TV,Jaipur,1
SUB100117,Kiara Taneja,56.0,Female,Premium,33,1551.0,3.6,104,7,4,2.0,Tablet,Jaipur,1
SUB100118,Ojas Raval,46.0,Other,Basic,58,2367.0,17.5,112,1,1,6.0,Laptop,Chennai,0
SUB100119,Nirvi Sen,40.0,Male,Basic,11,27407.0,37.4,46,5,8,1.0,Smart TV,Chennai,0
SUB100120,Jivika Magar,52.0,Female,Basic,10,765.0,43.1,45,2,6,7.0,Smart TV,Nagpur,0
SUB100121,Neysa Gupta,18.0,Male,Standard,38,494.0,40.9,133,1,4,4.0,Mobile,Bangalore,0
SUB100122,Akarsh Kamdar,50.0,Female,Premium,33,2131.0,16.9,21,7,14,3.0,Mobile,Delhi,1
SUB100123,Veer Trivedi,,Female,Standard,71,1730.0,43.1,100,1,14,8.0,Laptop,Jaipur,0
SUB100124,Ritvik Badami,26.0,Male,Family,6,2249.0,20.0,118,3,12,4.0,Mobile,Pune,0
SUB100125,Tanya Dugal,34.0,Male,Premium,48,753.0,9.1,170,4,11,9.0,Mobile,Bangalore,0
SUB100126,Samarth Loyal,43.0,Male,Family,2,1644.0,16.3,137,4,6,9.0,Laptop,Jaipur,0
SUB100127,Kiaan Seshadri,40.0,Female,Basic,13,2389.0,34.2,41,0,11,3.0,Mobile,Chennai,0
SUB100128,N/A,61.0,Male,Standard,11,1693.0,33.1,162,2,3,9.0,Mobile,Bangalore,1
SUB100129,Jivin Divan,,Female,Basic,51,770.0,8.4,23,5,6,4.0,Mobile,Hyderabad,1
SUB100130,Gatik Majumdar,51.0,Female,Family,52,,15.1,163,0,11,7.0,Mobile,Jaipur,0
SUB100131,Aradhya Kala,22.0,Male,Standard,18,2064.0,37.2,152,7,4,3.0,Laptop,Kolkata,0
SUB100132,Manikya Choudhary,28.0,Male,Basic,26,2110.0,39.7,21,1,6,7.0,Smart TV,Nagpur,0
SUB100133,Aarav Dugal,,Male,Family,34,,22.4,86,6,10,7.0,Laptop,Kolkata,1
SUB100134,Ivana Tata,39.0,Male,Premium,16,,41.3,158,4,7,3.0,Smart TV,Pune,1
SUB100135,Charvi Tara,38.0,Female,Standard,16,2254.0,23.8,21,0,0,1.0,Laptop,Kolkata,1
SUB100136,Vedika Kata,,Male,Family,53,2304.0,6.5,15,0,11,5.0,Tablet,Mumbai,0
SUB100137,Nitara Thakkar,69.0,Male,Family,70,2449.0,31.7,56,6,2,8.0,Laptop,Pune,0
SUB100138,Aaryahi Yogi,45.0,Male,Basic,50,1103.0,24.9,158,4,12,1.0,Smart TV,Kolkata,0
SUB100139,Indranil Golla,28.0,Female,Standard,45,1184.0,23.0,63,5,2,7.0,Smart TV,Delhi,0
SUB100140,Renee Korpal,27.0,Female,Basic,45,2463.0,24.4,24,2,2,2.0,Laptop,Hyderabad,0
SUB100141,Lakshit Madan,41.0,Male,Family,60,1080.0,39.1,15,4,14,3.0,Smart TV,Bangalore,1
SUB100142,Indrans Ganguly,50.0,Male,Premium,26,1134.0,13.5,146,1,13,7.0,Mobile,Chennai,0
SUB100143,Ela Magar,57.0,Female,Standard,32,193.0,21.4,79,1,6,7.0,Mobile,Jaipur,0
SUB100144,Heer Arora,18.0,Male,Premium,61,2437.0,24.4,157,0,5,1.0,Laptop,Mumbai,0
SUB100145,Abram Gour,26.0,Male,Basic,27,,4.4,127,5,13,8.0,Mobile,Bangalore,0
SUB100146,Mannat Cherian,66.0,Male,Standard,46,2016.0,35.1,161,3,8,6.0,Mobile,Nagpur,1
SUB100147,Khushi Sandal,44.0,Female,Family,25,1904.0,21.6,103,5,14,4.0,Smart TV,Hyderabad,1
SUB100148,Sahil Chaudhari,57.0,Female,Family,49,478.0,37.7,119,3,9,4.0,Tablet,Hyderabad,0
SUB100149,Rati Deo,23.0,Male,Family,26,12435.0,,179,3,5,8.0,Tablet,Hyderabad,1
SUB100150,Kaira Saran,66.0,Male,Standard,50,2147.0,38.8,76,3,6,1.0,Smart TV,Kolkata,1
SUB100151,Emir Sandhu,47.0,Male,Premium,8,,19.6,3,6,2,8.0,Mobile,Jaipur,1
SUB100152,Eva Bhasin,68.0,Female,Family,6,707.0,26.9,108,5,1,6.0,Mobile,Nagpur,1
SUB100153,Divyansh Sarna,24.0,Male,Basic,51,1564.0,40.8,2,7,10,10.0,Laptop,Hyderabad,0
SUB100154,Lakshay Solanki,60.0,Female,Premium,53,929.0,36.9,30,2,11,6.0,Laptop,Bangalore,0
SUB100155,Saira Bhagat,26.0,Female,Family,56,859.0,15.7,47,6,1,6.0,Smart TV,Bangalore,1
SUB100156,Taran Brar,43.0,Female,Basic,50,184.0,13.4,63,5,13,9.0,Laptop,Jaipur,1
SUB100157,Badal Gopal,,Female,Premium,31,2025.0,28.0,24,2,10,4.0,Laptop,Ahmedabad,0
SUB100158,Vihaan Krishnan,50.0,Female,Family,45,178.0,16.4,108,1,3,,Mobile,Hyderabad,1
SUB100159,Miraan Buch,18.0,Male,Premium,36,671.0,43.1,61,5,12,1.0,Smart TV,Nagpur,1
SUB100160,Saksham Madan,56.0,Female,Family,65,1032.0,36.5,82,6,10,10.0,Smart TV,Chennai,1
SUB100161,Keya Vyas,65.0,Female,Basic,4,,39.4,124,4,0,4.0,Laptop,Nagpur,1
SUB100162,Divij Chakrabarti,67.0,Male,Family,62,468.0,22.3,160,7,8,1.0,Tablet,Mumbai,1
SUB100163,Myra Keer,41.0,Other,Basic,42,1944.0,34.1,171,1,14,2.0,Laptop,Chennai,1
SUB100164,Farhan Bumb,59.0,Female,Family,60,1096.0,18.6,117,0,9,6.0,Mobile,Chennai,0
SUB100165,Divyansh Malhotra,35.0,Female,Family,49,533.0,34.1,54,2,9,,Tablet,Hyderabad,0
SUB100166,Neelofar Aurora,63.0,Female,Family,41,883.0,,75,2,8,4.0,Laptop,Jaipur,0
SUB100167,Suhana Balasubramanian,32.0,Male,Standard,63,,44.8,50,5,6,2.0,Mobile,Ahmedabad,1
SUB100168,Advik Rao,46.0,Female,Basic,63,759.0,36.9,165,3,8,1.0,Tablet,Jaipur,1
SUB100169,Nitara Kari,21.0,Female,Premium,58,1966.0,34.8,128,7,10,10.0,Tablet,Mumbai,1
SUB100170,Anaya Sachdev,31.0,Male,Family,4,370.0,25.5,40,2,2,6.0,Laptop,Mumbai,0
SUB100171,Rohan Goyal,38.0,Male,Family,40,1923.0,9.7,39,6,4,5.0,Mobile,Chennai,0
SUB100172,Hunar Sahni,69.0,Female,Family,34,1091.0,28.7,130,0,5,9.0,Mobile,Kolkata,0
SUB100173,Dhanush Choudhury,54.0,Female,Basic,34,2129.0,20.7,21,0,14,10.0,Smart TV,Mumbai,0
SUB100174,Tarini Sule,36.0,Male,Standard,23,1911.0,26.9,68,1,4,1.0,Smart TV,Ahmedabad,1
SUB100175,Nitara Loyal,19.0,Male,Premium,19,431.0,25.9,138,4,3,2.0,Tablet,Delhi,1
SUB100176,Dhanush Mallick,43.0,Female,Standard,25,2168.0,20.3,147,2,4,3.0,Smart TV,Bangalore,0
SUB100177,Nayantara Banik,31.0,Female,Standard,42,1846.0,25.1,81,2,11,7.0,Tablet,Nagpur,1
SUB100178,Raghav Choudhury,50.0,Male,Premium,12,1605.0,1.1,83,0,7,8.0,Laptop,Mumbai,1
SUB100179,Shray Gour,29.0,Male,Basic,46,205.0,18.4,155,7,14,2.0,Mobile,Bangalore,0
SUB100180,Hiran Sura,58.0,Female,Basic,68,2452.0,37.0,13,0,8,9.0,Smart TV,Jaipur,0
SUB100181,Dhanush Dhaliwal,22.0,Female,Standard,16,211.0,4.4,67,0,8,10.0,Mobile,Hyderabad,0
SUB100182,Jayant Apte,54.0,Female,Basic,8,1271.0,26.4,158,5,1,9.0,Laptop,Delhi,1
SUB100183,Dishani Madan,54.0,Male,Family,21,1039.0,,86,6,1,5.0,Laptop,Mumbai,0
SUB100184,Saksham Sankaran,69.0,Male,Standard,38,2073.0,41.0,87,7,5,10.0,Mobile,Chennai,0
SUB100185,Ivan Kakar,64.0,Male,Basic,4,720.0,44.9,116,0,1,1.0,Tablet,Chennai,1
SUB100186,Samaira Hayer,48.0,Female,Standard,47,,29.3,57,3,3,1.0,Mobile,Chennai,1
SUB100187,Ivana Madan,51.0,Male,Basic,70,468.0,10.6,108,6,10,5.0,Mobile,Ahmedabad,0
SUB100188,Hansh Borah,49.0,Female,Standard,59,2444.0,17.5,113,1,4,4.0,Smart TV,Kolkata,1
SUB100189,Ritvik Dutt,67.0,Male,Standard,49,2353.0,14.2,122,3,1,7.0,Laptop,Bangalore,0
SUB100190,Uthkarsh Sundaram,49.0,Male,Standard,58,434.0,34.0,51,0,6,7.0,Laptop,Jaipur,1
SUB100191,Chirag Chadha,45.0,FEMALE,Basic,54,1164.0,2.3,36,1,8,6.0,Laptop,Bangalore,0
SUB100192,Kabir Date,31.0,Female,Basic,12,524.0,36.3,139,5,8,3.0,Mobile,Jaipur,1
SUB100193,Ira Andra,24.0,Female,Basic,55,327.0,6.5,137,6,9,2.0,Tablet,Jaipur,1
SUB100194,Uthkarsh Savant,37.0,Female,Standard,70,1505.0,34.7,130,3,3,9.0,Tablet,Bangalore,1
SUB100195,Adira Keer,48.0,Female,Standard,10,664.0,42.9,107,0,6,1.0,Mobile,Jaipur,1
SUB100196,Kaira Kala,56.0,Female,Family,32,1591.0,27.7,152,7,14,9.0,Tablet,Pune,1
SUB100197,Miraya Master,62.0,Female,Family,49,1961.0,3.4,119,4,13,3.0,Smart TV,Delhi,1
SUB100198,Prisha Karan,27.0,Male,Premium,49,2031.0,30.6,53,4,7,10.0,Mobile,Ahmedabad,1
SUB100199,Veer Vig,44.0,Male,Family,12,,28.6,138,7,8,4.0,Tablet,Chennai,1
SUB100200,Neysa Mann,58.0,Male,Premium,43,1961.0,29.8,122,4,11,3.0,Mobile,Bangalore,0
SUB100201,Amani Rastogi,31.0,Male,Basic,9,204.0,18.2,171,0,8,3.0,Mobile,Nagpur,1
SUB100202,Neelofar Kulkarni,40.0,Female,Standard,40,2449.0,0.1,80,6,5,8.0,Laptop,Bangalore,1
SUB100203,Ayesha Hora,22.0,Male,Family,41,,29.5,95,5,8,3.0,Smart TV,Chennai,1
SUB100204,Nitara Varkey,140.0,Female,Basic,37,639.0,33.8,59,1,6,2.0,Tablet,Mumbai,1
SUB100205,Diya Borra,31.0,Female,Basic,23,1448.0,34.2,37,2,3,4.0,Smart TV,Kolkata,1
SUB100206,Miraan Dar,41.0,Male,Premium,18,262.0,19.6,16,5,8,6.0,Laptop,Jaipur,0
SUB100207,Aaina Rajagopalan,,Female,Basic,21,702.0,27.3,98,1,2,10.0,Tablet,Delhi,0
SUB100208,Ishaan Ramachandran,29.0,Female,Standard,68,1724.0,6.1,177,5,6,4.0,Tablet,Bangalore,0
SUB100209,Yasmin Arora,36.0,Male,Premium,16,2420.0,4.9,173,5,11,3.0,Tablet,Chennai,0
SUB100210,Vihaan Luthra,63.0,Male,Family,22,811.0,18.7,132,3,5,9.0,Smart TV,Mumbai,1
SUB100211,Yashvi Raval,43.0,Female,Premium,65,1812.0,29.8,74,2,13,6.0,Laptop,Jaipur,0
SUB100212,Aarush Raja,,Male,Premium,31,1802.0,27.5,124,1,13,4.0,Smart TV,Mumbai,0
SUB100213,Mahika Lanka,20.0,Female,Standard,40,1099.0,36.2,176,0,10,3.0,Mobile,Mumbai,0
SUB100214,Anay Handa,38.0,Male,Premium,51,811.0,4.3,52,5,5,5.0,Tablet,Ahmedabad,1
SUB100215,Advika Loyal,43.0,Male,Premium,42,789.0,32.8,9,2,12,1.0,Tablet,Ahmedabad,0
SUB100216,Purab Bera,45.0,Male,Premium,5,1240.0,44.8,12,0,4,3.0,Smart TV,Pune,0
SUB100217,Dharmajan Soman,66.0,Male,Premium,9,1330.0,,134,3,1,4.0,Laptop,Chennai,1
SUB100218,Hrishita Kibe,,Male,Basic,13,824.0,3.8,177,6,10,2.0,Smart TV,Ahmedabad,0
SUB100219,Adah Tiwari,31.0,Female,Family,59,261.0,44.8,158,7,14,1.0,Tablet,Kolkata,1
SUB100220,Pari Kapur,63.0,Female,Premium,27,434.0,28.5,167,5,13,5.0,Tablet,Kolkata,1
SUB100221,Navya Ratta,35.0,Male,Family,20,122.0,32.3,63,5,14,5.0,Laptop,Nagpur,0
SUB100222,Uthkarsh Badal,57.0,Female,Standard,6,1697.0,10.5,84,4,9,3.0,Laptop,Bangalore,1
SUB100223,Yashvi Kohli,66.0,Male,Basic,70,846.0,29.6,114,7,7,3.0,Smart TV,Nagpur,1
SUB100224,Jayesh Manda,69.0,Female,Basic,34,2190.0,3.7,65,6,12,5.0,Smart TV,Nagpur,1
SUB100225,Adah Warrior,64.0,Male,Standard,8,2087.0,1.2,102,7,1,1.0,Laptop,Nagpur,1
SUB100226,Sara Acharya,31.0,Female,Basic,16,80808.0,7.2,149,3,8,8.0,Mobile,Kolkata,0
SUB100227,Khushi Guha,26.0,Female,Premium,69,1446.0,38.4,133,7,0,3.0,Mobile,Pune,1
SUB100228,Dishani Dutta,65.0,??,Basic,10,1745.0,26.9,160,1,9,2.0,Tablet,Delhi,1
SUB100229,Arnav Ramaswamy,57.0,Male,Premium,43,1658.0,3.3,10,2,3,9.0,Tablet,Ahmedabad,0
SUB100230,Kiara Kala,38.0,Female,Standard,13,392.0,43.9,126,3,7,7.0,Smart TV,Pune,1
SUB100231,Jayan Bawa,33.0,Female,Standard,47,1863.0,5.7,130,4,2,4.0,Smart TV,Hyderabad,1
SUB100232,Priyansh Khanna,18.0,Male,Standard,30,1350.0,11.5,109,5,2,6.0,Tablet,Hyderabad,1
